STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,SURVEY_DATE,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,ME_PERCENT_WHEEL_PATH_CRACK,SURVEY_WIDTH,GATOR_CRACK_A,GATOR_CRACK_A_L,GATOR_CRACK_A_M,GATOR_CRACK_A_H,BLK_CRACK_A,BLK_CRACK_A_L,BLK_CRACK_A_M,BLK_CRACK_A_H,EDGE_CRACK_L,EDGE_CRACK_L_L,EDGE_CRACK_L_M,EDGE_CRACK_L_H,LONG_CRACK_WP_L,LONG_CRACK_WP_L_L,LONG_CRACK_WP_L_M,LONG_CRACK_WP_L_H,LONG_CRACK_NWP_L,LONG_CRACK_NWP_L_L,LONG_CRACK_NWP_L_M,LONG_CRACK_NWP_L_H,LONG_CRACK_WP_SEAL_L,LONG_CRACK_WP_SEAL_L_L,LONG_CRACK_WP_SEAL_L_M,LONG_CRACK_WP_SEAL_L_H,LONG_CRACK_NWP_SEAL_L,LONG_CRACK_NWP_SEAL_L_L,LONG_CRACK_NWP_SEAL_L_M,LONG_CRACK_NWP_SEAL_L_H,TRANS_CRACK_NO,TRANS_CRACK_NO_L,TRANS_CRACK_NO_M,TRANS_CRACK_NO_H,TRANS_CRACK_L,TRANS_CRACK_L_L,TRANS_CRACK_L_M,TRANS_CRACK_L_H,TRANS_CRACK_SEAL_L,TRANS_CRACK_SEAL_L_L,TRANS_CRACK_SEAL_L_M,TRANS_CRACK_SEAL_L_H,PATCH_NO,PATCH_NO_L,PATCH_NO_M,PATCH_NO_H,PATCH_A,PATCH_A_L,PATCH_A_M,PATCH_A_H,POTHOLES_NO,POTHOLES_NO_L,POTHOLES_NO_M,POTHOLES_NO_H,POTHOLES_A,POTHOLES_A_L,POTHOLES_A_M,POTHOLES_A_H,SHOVING_NO,SHOVING_A,BLEEDING,POLISH_AGG_A,RAVELING,PUMPING_NO,PUMPING_L,WP_LENGTH_CRACKED,TRANS_CRACK_L_GT183,LONGIGATOR_CRACKING,BLOCKVERSE_CRACKING,OTHER,HPMS16_CRACKING_PERCENT_AC_FLAG,HPMS16_CRACKING_PERCENT_AC_FLAG_EXP,MEPDG_CRACKING_PERCENT_AC_FLAG,MEPDG_CRACKING_PERCENT_AC_FLAG_EXP,MEPDG_TRANS_CRACK_LENGTH_AC_FLAG_EX,MEPDG_TRANS_CRACK_LENGTH_AC_FLAG,MEPDG_LONG_CRACK_LENGTH_AC_FLAG,MEPDG_LONG_CRACK_LENGTH_AC_FLAG_EXP,WP_LENGTH_CRACKED_FLAG,WP_LENGTH_CRACKED_FLAG_EXP,GATOR_CRACK_A_FLAG,GATOR_CRACK_A_FLAG_EXP,BLK_CRACK_A_FLAG_EXP,BLK_CRACK_A_FLAG,EDGE_CRACK_L_FLAG,EDGE_CRACK_L_FLAG_EXP,LONG_CRACK_WP_L_FLAG,LONG_CRACK_WP_L_FLAG_EXP,LONG_CRACK_WP_SEAL_L_FLAG,LONG_CRACK_WP_SEAL_L_FLAG_EXP,LONG_CRACK_NWP_L_FLAG,LONG_CRACK_NWP_L_FLAG_EXP,LONG_CRACK_NWP_SEAL_L_FLAG_EXP,LONG_CRACK_NWP_SEAL_L_FLAG,TRANS_CRACK_NO_FLAG,TRANS_CRACK_NO_FLAG_EXP,TRANS_CRACK_L_FLAG,TRANS_CRACK_L_FLAG_EXP,TRANS_CRACK_SEAL_L_FLAG,TRANS_CRACK_SEAL_L_FLAG_EXP,PATCH_NO_FLAG_EXP,PATCH_NO_FLAG,PATCH_A_FLAG,PATCH_A_FLAG_EXP,POTHOLES_NO_FLAG,POTHOLES_NO_FLAG_EXP,POTHOLES_A_FLAG,POTHOLES_A_FLAG_EXP,SHOVING_NO_FLAG,SHOVING_NO_FLAG_EXP,SHOVING_A_FLAG_EXP,SHOVING_A_FLAG,BLEEDING_FLAG,BLEEDING_FLAG_EXP,POLISH_AGG_A_FLAG,POLISH_AGG_A_FLAG_EXP,RAVELING_FLAG,RAVELING_FLAG_EXP,PUMPING_NO_FLAG,PUMPING_NO_FLAG_EXP,PUMPING_L_FLAG,PUMPING_L_FLAG_EXP,LONGIGATOR_CRACKING_FLAG,LONGIGATOR_CRACKING_FLAG_EXP,BLOCKVERSE_CRACKING_FLAG,BLOCKVERSE_CRACKING_FLAG_EXP,PAVEMENT_FAMILY,PAVEMENT_FAMILY_EXP
4,Arizona,1001,2,Mon Apr 08 1996 20:00:00 GMT-0400 (Eastern Daylight Time),4,3,187,11.7,2,3.799999952316284,20,0,0,20,0,0,0,0,0,0,0,0,1.7999999523162842,0,1.7999999523162842,0,104.0999984741211,0,87.4000015258789,16.700000762939453,0,0,0,0,0,0,0,0,33,31,1,1,28.5,23.799999237060547,1.399999976158142,3.299999952316284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,22,3.299999952316284,21.799999237060547,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,2,Sun May 12 1996 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,16.5,0,0,3.700000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22.200000762939453,141.39999389648438,0,0,0,0,0,0,0,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1002,3,Wed Dec 02 1998 19:00:00 GMT-0500 (Eastern Standard Time),0,0,0,0,0,3.700000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,3,Mon May 24 1993 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,185.7,0,0,3.799999952316284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.20000076293945,14,3.5,22.700000762939453,0,0,0,0,4.800000190734863,0,0,4.800000190734863,17,17,0,0,28.299999237060547,28.299999237060547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,8,1.8300000429153442,0,0,1.8300000429153442,0,0,1.2000000476837158,0,35,0,0,0,21.5,0,28.299999237060547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,4,Tue May 08 2001 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,0,0,0,3.700000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,4,Wed Feb 25 1998 19:00:00 GMT-0500 (Eastern Standard Time),0,0,0,0,0,3.700000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,4,Wed Jan 26 1994 19:00:00 GMT-0500 (Eastern Standard Time),0,0,0,0,0,3.700000047683716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,4,Mon Feb 10 2003 19:00:00 GMT-0500 (Eastern Standard Time),0,0,0,0,0,3.799999952316284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,305,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,4,Wed Feb 23 2011 19:00:00 GMT-0500 (Eastern Standard Time),0,0,205.4,0,0,3.799999952316284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.79998779296875,151.10000610351562,152.6999969482422,1,0,0,0,0,0,0,0,0,34,27,7,0,31.299999237060547,13.399999618530273,17.899999618530273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.600000381469727,0,31.299999237060547,CHIP SEAL IS HOLDING UP WELL.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
4,Arizona,1003,4,Sun Mar 09 2008 20:00:00 GMT-0400 (Eastern Daylight Time),0,0,70.3,0,0,3.799999952316284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304.79998779296875,304.79998779296875,0,0,0,0,0,0,0,0,0,0,13,13,0,0,10.699999809265137,10.699999809265137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.199999809265137,0,10.699999809265137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ACUB,Asphalt concrete over unbound base/subgrade
