POINT_LOC,SHRP_ID,STATE_CODE,STATE_CODE_EXP,SURVEY_DATE,DROPOFF,SEPARATION,WELL_SEALED,WELL_SEALED_EXP,IMP_TYPE,IMP_TYPE_EXP,SHOULDER_RESTORED,SHOULDER_RESTORED_EXP,AC_MATERIAL_TYPE,AC_MATERIAL_TYPE_EXP,DATE_COMPLETE,SHOULDER_RESTORE_TYPE_EXP,SHOULDER_RESTORE_TYPE,AC_REMOVED_THICKNESS,ACO_THICKNESS,LANE_SH_JOINT_SEALANT,LANE_SH_JOINT_SEALANT_EXP,O_SH_BASE_THICKNESS,O_SH_BASE_TYPE,O_SH_BASE_TYPE_EXP,O_SH_PAVED_WIDTH,O_SH_SURFACE_THICKNESS,O_SH_SURFACE_TYPE,O_SH_SURFACE_TYPE_EXP,O_SH_WIDTH,O_SH_REINFORCED,O_SH_REINFORCED_EXP,O_SH_JOINTS,O_SH_JOINTS_EXP,O_SH_JOINT_SKEWNESS,O_SH_PCC_AVG_JOINT_SPACING
0,1001,13,Georgia,Fri Jun 14 1991 20:00:00 GMT-0400 (Eastern Daylight Time),,,,,11,AC Shoulder Replacement,1,Outside,1,New,Fri Jun 14 1991 20:00:00 GMT-0400 (Eastern Daylight Time),Complete Shoulder Removal And Replacement,3,0,,1,None,,,,,,,,,,,,,,
1,1001,13,Georgia,Fri Jun 14 1991 20:00:00 GMT-0400 (Eastern Daylight Time),,,,,11,AC Shoulder Replacement,1,Outside,1,New,Fri Jun 14 1991 20:00:00 GMT-0400 (Eastern Daylight Time),Complete Shoulder Removal And Replacement,3,0,,1,None,,,,,,,,,,,,,,
0,1004,13,Georgia,Thu Jun 14 1990 20:00:00 GMT-0400 (Eastern Daylight Time),,,,,11,AC Shoulder Replacement,1,Outside,1,New,Thu Jun 14 1990 20:00:00 GMT-0400 (Eastern Daylight Time),Complete Shoulder Removal And Replacement,3,0,,1,None,,,,,,,,,,,,,,
1,1004,13,Georgia,Thu Jun 14 1990 20:00:00 GMT-0400 (Eastern Daylight Time),,,,,11,AC Shoulder Replacement,1,Outside,1,New,Thu Jun 14 1990 20:00:00 GMT-0400 (Eastern Daylight Time),Complete Shoulder Removal And Replacement,3,0,,1,None,,,,,,,,,,,,,,
0,1005,13,Georgia,Thu Jun 14 1990 20:00:00 GMT-0400 (Eastern Daylight Time),,,,,11,AC Shoulder Replacement,1,Outside,1,New,Thu Jun 14 1990 20:00:00 GMT-0400 (Eastern Daylight Time),Complete Shoulder Removal And Replacement,3,0,,1,None,,,,,,,,,,,,,,
1,1005,13,Georgia,Thu Jun 14 1990 20:00:00 GMT-0400 (Eastern Daylight Time),,,,,11,AC Shoulder Replacement,1,Outside,1,New,Thu Jun 14 1990 20:00:00 GMT-0400 (Eastern Daylight Time),Complete Shoulder Removal And Replacement,3,0,,1,None,,,,,,,,,,,,,,
0,4092,13,Georgia,Sat Jul 14 1990 20:00:00 GMT-0400 (Eastern Daylight Time),,,,,11,AC Shoulder Replacement,3,Both,1,New,Sat Jul 14 1990 20:00:00 GMT-0400 (Eastern Daylight Time),Other,5,0,0,4,Other,,,,,,,,,,,,,,
1,4092,13,Georgia,Sat Jul 14 1990 20:00:00 GMT-0400 (Eastern Daylight Time),,,,,11,AC Shoulder Replacement,3,Both,1,New,Sat Jul 14 1990 20:00:00 GMT-0400 (Eastern Daylight Time),Other,5,0,0,4,Other,,,,,,,,,,,,,,
0,4093,13,Georgia,Sat Jul 14 1990 20:00:00 GMT-0400 (Eastern Daylight Time),,,,,11,AC Shoulder Replacement,3,Both,1,New,Sat Jul 14 1990 20:00:00 GMT-0400 (Eastern Daylight Time),Other,5,0,0,4,Other,,,,,,,,,,,,,,
1,4093,13,Georgia,Sat Jul 14 1990 20:00:00 GMT-0400 (Eastern Daylight Time),,,,,11,AC Shoulder Replacement,3,Both,1,New,Sat Jul 14 1990 20:00:00 GMT-0400 (Eastern Daylight Time),Other,5,0,0,4,Other,,,,,,,,,,,,,,
0,4420,13,Georgia,Sat Apr 15 1989 20:00:00 GMT-0400 (Eastern Daylight Time),,,,,11,AC Shoulder Replacement,1,Outside,2,Hot Recycled,Sat Apr 15 1989 20:00:00 GMT-0400 (Eastern Daylight Time),Other,5,,,1,None,,,,,,,,,,,,,,
1,4420,13,Georgia,Sat Apr 15 1989 20:00:00 GMT-0400 (Eastern Daylight Time),,,,,11,AC Shoulder Replacement,1,Outside,2,Hot Recycled,Sat Apr 15 1989 20:00:00 GMT-0400 (Eastern Daylight Time),Other,5,,,1,None,,,,,,,,,,,,,,
0,1620,87,Ontario,Thu May 31 2012 20:00:00 GMT-0400 (Eastern Daylight Time),,,,,11,AC Shoulder Replacement,3,Both,,,Thu May 31 2012 20:00:00 GMT-0400 (Eastern Daylight Time),Cold Milling And AC Overlay,2,40.64,78.74,,,,,,,,,,,,,,,,
0,1620,87,Ontario,Sun Sep 30 2012 20:00:00 GMT-0400 (Eastern Daylight Time),,,,,11,AC Shoulder Replacement,3,Both,2,Hot Recycled,Sun Sep 30 2012 20:00:00 GMT-0400 (Eastern Daylight Time),Other,5,0,0,,,,,,,,,,,,,,,,
0,1620,87,Ontario,Sun Jul 14 2013 20:00:00 GMT-0400 (Eastern Daylight Time),,,,,10,AC Shoulder Restoration,3,Both,,,Sun Jul 14 2013 20:00:00 GMT-0400 (Eastern Daylight Time),AC Overlay Without Removal Of Existing AC,1,,40.64,,,,,,,,,,,,,,,,
