STATE_CODE,STATE_CODE_EXP,SHRP_ID,LAYER_NO,CONSTRUCTION_NO,TEST_TEMPERATURE,MATL_PROPERTY,PROPERTY_MINIMUM,PROPERTY_MAXIMUM,PROPERTY_MEDIAN,PROPERTY_AVERAGE,PROPERTY_STANDARD_DEVIATION,PROPERTY_COEFF_VARIATION,REP_CODE_SOURCE_VARIABILITY,REP_CODE_SOURCE_VARIABILITY_EXP
4,Arizona,1002,2,3,-10,CREEP_COMP_20_SEC,0.051,0.051,0.051,0.051,,,AS,Representative property from a single measurement.
4,Arizona,1002,2,3,25,CREEP_COMP_20_SEC,0.556,0.556,0.556,0.556,,,AS,Representative property from a single measurement.
4,Arizona,1002,2,3,5,CREEP_COMP_10_SEC,0.122,0.122,0.122,0.122,,,AS,Representative property from a single measurement.
4,Arizona,1002,2,3,25,CREEP_COMP_10_SEC,0.446,0.446,0.446,0.446,,,AS,Representative property from a single measurement.
4,Arizona,1002,2,3,-10,CREEP_COMP_10_SEC,0.049,0.049,0.049,0.049,,,AS,Representative property from a single measurement.
4,Arizona,1002,2,3,5,CREEP_COMP_5_SEC,0.11,0.11,0.11,0.11,,,AS,Representative property from a single measurement.
4,Arizona,1002,2,3,25,CREEP_COMP_5_SEC,0.357,0.357,0.357,0.357,,,AS,Representative property from a single measurement.
4,Arizona,1002,2,3,-10,CREEP_COMP_5_SEC,0.047,0.047,0.047,0.047,,,AS,Representative property from a single measurement.
4,Arizona,1002,2,3,5,CREEP_COMP_2_SEC,0.096,0.096,0.096,0.096,,,AS,Representative property from a single measurement.
4,Arizona,1002,2,3,25,CREEP_COMP_2_SEC,0.266,0.266,0.266,0.266,,,AS,Representative property from a single measurement.
4,Arizona,1002,2,3,-10,CREEP_COMP_2_SEC,0.045,0.045,0.045,0.045,,,AS,Representative property from a single measurement.
4,Arizona,1002,2,3,5,CREEP_COMP_1_SEC,0.089,0.089,0.089,0.089,,,AS,Representative property from a single measurement.
4,Arizona,1002,2,3,25,CREEP_COMP_1_SEC,0.223,0.223,0.223,0.223,,,AS,Representative property from a single measurement.
4,Arizona,1002,2,3,-10,CREEP_COMP_1_SEC,0.042,0.042,0.042,0.042,,,AS,Representative property from a single measurement.
4,Arizona,1002,2,3,5,CREEP_COMP_50_SEC,0.155,0.155,0.155,0.155,,,AS,Representative property from a single measurement.
4,Arizona,1002,2,3,25,CREEP_COMP_50_SEC,0.759,0.759,0.759,0.759,,,AS,Representative property from a single measurement.
4,Arizona,1002,2,3,-10,CREEP_COMP_50_SEC,0.055,0.055,0.055,0.055,,,AS,Representative property from a single measurement.
4,Arizona,1002,2,3,5,CREEP_COMP_100_SEC,0.178,0.178,0.178,0.178,,,AS,Representative property from a single measurement.
4,Arizona,1002,2,3,25,CREEP_COMP_100_SEC,1.027,1.027,1.027,1.027,,,AS,Representative property from a single measurement.
4,Arizona,1002,2,3,-10,CREEP_COMP_100_SEC,0.059,0.059,0.059,0.059,,,AS,Representative property from a single measurement.
4,Arizona,1002,2,3,5,CREEP_COMP_20_SEC,0.134,0.134,0.134,0.134,,,AS,Representative property from a single measurement.
