STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,LAYER_NO,MATL_PROPERTY,PROPERTY_MINIMUM,PROPERTY_MAXIMUM,PROPERTY_MEDIAN,PROPERTY_AVERAGE,PROPERTY_STANDARD_DEVIATION,PROPERTY_COEFF_VARIATION,REP_CODE_SOURCE_VARIABILITY,REP_CODE_SOURCE_VARIABILITY_EXP
4,Arizona,1001,1,2,ABSOLUTE_VISC_140_F,,,,,,,,
4,Arizona,1001,1,2,AGGR_SPEC_GRAVITY,,,,2.68,,,F,Default assigned or assumed values.
4,Arizona,1001,1,2,AIR_VOIDS_AVG_NWP,,,,,,,,
4,Arizona,1001,1,2,AIR_VOIDS_AVG_WP,1.1,1.1,1.1,1.1,,,BS,Representative property calculated from a single measurement.
4,Arizona,1001,1,2,ASPHALT_CONTENT_MEAN,4.5,5,4.8,4.8,0.4,0.1,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1001,1,2,BINDER_SPEC_GRAVITY,,,,1.03,,,F,Default assigned or assumed values.
4,Arizona,1001,1,2,BSG,2.369,2.433,2.41,2.409,0.019,0.008,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1001,1,2,COEF_THERMAL_CONTRACTION,,,,0.000028,,,F,Default assigned or assumed values.
4,Arizona,1001,1,2,DSR_COMPLEX_MODULUS_PAV,,,,,,,,
4,Arizona,1001,1,2,DSR_COMPLEX_MODULUS_RTFO,,,,,,,,
4,Arizona,1001,1,2,DSR_COMPLEX_MODULUS_TANK,,,,,,,,
4,Arizona,1001,1,2,DSR_COMPLEX_PHASE_ANGLE_PAV,,,,,,,,
4,Arizona,1001,1,2,DSR_COMPLEX_PHASE_ANGLE_RTFO,,,,,,,,
4,Arizona,1001,1,2,DSR_COMPLEX_PHASE_ANGLE_TANK,,,,,,,,
4,Arizona,1001,1,2,HEAT_CAPACITY,,,,0.28,,,F,Default assigned or assumed values.
4,Arizona,1001,1,2,IDT_AVERAGE,,,,,,,,
4,Arizona,1001,1,2,IDT_LOADING_RATE,,,,50,,,F,Default assigned or assumed values.
4,Arizona,1001,1,2,IDT_POISSON_USED,,,,0.35,,,F,Default assigned or assumed values.
4,Arizona,1001,1,2,IDT_TEST_TEMPERATURE,,,,,,,,
4,Arizona,1001,1,2,KINEMATIC_VISC_275_F,,,,,,,,
4,Arizona,1001,1,2,MAX_SPEC_GRAVITY,2.417,2.445,2.431,2.431,0.02,0.008,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1001,1,2,NO_10_PASSING,35,36,35.5,35.5,0.7,0,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1001,1,2,NO_200_PASSING,3.8,3.8,3.8,3.8,0,0,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1001,1,2,NO_40_PASSING,18,19,18.5,18.5,0.7,0,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1001,1,2,NO_4_PASSING,44,47,45.5,45.5,2.1,0,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1001,1,2,NO_80_PASSING,8,8,8,8,0,0,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1001,1,2,ONE_AND_HALF_PASSING,100,100,100,100,0,0,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1001,1,2,ONE_HALF_PASSING,67,71,69,69,2.8,0,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1001,1,2,ONE_PASSING,100,100,100,100,0,0,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1001,1,2,POISSON_RATIO_TEST_TEMP,25,25,25,25,0,,BS,Representative property calculated from a single measurement.
4,Arizona,1001,1,2,REPR_THICKNESS,,,,11.9,,,A,Measured representative property.
4,Arizona,1001,1,2,SUR_SHORTWAVE_ABSORP,,,,0.85,,,F,Default assigned or assumed values.
4,Arizona,1001,1,2,THERMAL_CONDUCTIVITY,,,,1.25,,,F,Default assigned or assumed values.
4,Arizona,1001,1,2,THREE_EIGHTHS_PASSING,56,61,58.5,58.5,3.5,0.1,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1001,1,2,THREE_FOURTHS_PASSING,88,89,88.5,88.5,0.7,0,AL,Representative property from two or more measurements with a coefficient of variation less than or equal to a threshold that is material dependent.
4,Arizona,1001,1,2,VOIDS_FILLED_ASPHALT,92.4,92.4,92.4,92.4,0,,BS,Representative property calculated from a single measurement.
4,Arizona,1001,1,2,VOIDS_MINERAL_AGGR,14.4,14.4,14.4,14.4,0,,BS,Representative property calculated from a single measurement.
4,Arizona,1001,1,3,ABSOLUTE_VISC_140_F,,,,,,,,
4,Arizona,1001,1,3,AGGR_SPEC_GRAVITY,,,,2.68,,,F,Default assigned or assumed values.
4,Arizona,1001,1,3,AIR_VOIDS_AVG_NWP,,,,,,,,
4,Arizona,1001,1,3,AIR_VOIDS_AVG_WP,,,,,,,,
4,Arizona,1001,1,3,ASPHALT_CONTENT_MEAN,,,,,,,,
4,Arizona,1001,1,3,BINDER_SPEC_GRAVITY,,,,1.03,,,F,Default assigned or assumed values.
4,Arizona,1001,1,3,BSG,,,,,,,,
4,Arizona,1001,1,3,COEF_THERMAL_CONTRACTION,,,,0.000028,,,F,Default assigned or assumed values.
4,Arizona,1001,1,3,DSR_COMPLEX_MODULUS_PAV,,,,,,,,
4,Arizona,1001,1,3,DSR_COMPLEX_MODULUS_RTFO,,,,,,,,
4,Arizona,1001,1,3,DSR_COMPLEX_MODULUS_TANK,,,,,,,,
4,Arizona,1001,1,3,DSR_COMPLEX_PHASE_ANGLE_PAV,,,,,,,,
4,Arizona,1001,1,3,DSR_COMPLEX_PHASE_ANGLE_RTFO,,,,,,,,
4,Arizona,1001,1,3,DSR_COMPLEX_PHASE_ANGLE_TANK,,,,,,,,
4,Arizona,1001,1,3,HEAT_CAPACITY,,,,0.28,,,F,Default assigned or assumed values.
