STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,LAYER_NO,LAYER_TYPE,LAYER_TYPE_EXP,REPR_THICKNESS,MATL_CODE,MATL_CODE_EXP,DESCRIPTION,DESCRIPTION_EXP,PROJECT_LAYER_CODE
4,Arizona,1001,2,4,AC,Asphalt concrete layer,2.54,73,Fog Seal,2,Seal Coat,
4,Arizona,1006,1,5,AC,Asphalt concrete layer,2.54,82,Sand Seal,10,Surface Treatment,
4,Arizona,1006,2,5,AC,Asphalt concrete layer,2.54,82,Sand Seal,10,Surface Treatment,
4,Arizona,1006,3,5,AC,Asphalt concrete layer,2.54,82,Sand Seal,10,Surface Treatment,
4,Arizona,1006,4,5,AC,Asphalt concrete layer,0,82,Sand Seal,10,Surface Treatment,
4,Arizona,1006,5,5,AC,Asphalt concrete layer,0,82,Sand Seal,10,Surface Treatment,
4,Arizona,1006,6,5,AC,Asphalt concrete layer,0,82,Sand Seal,10,Surface Treatment,
4,Arizona,1006,7,5,AC,Asphalt concrete layer,0,82,Sand Seal,10,Surface Treatment,
4,Arizona,1007,2,5,AC,Asphalt concrete layer,2.54,73,Fog Seal,2,Seal Coat,
4,Arizona,1007,3,5,AC,Asphalt concrete layer,2.54,73,Fog Seal,2,Seal Coat,
4,Arizona,1007,4,5,AC,Asphalt concrete layer,0,73,Fog Seal,2,Seal Coat,
4,Arizona,1007,5,5,AC,Asphalt concrete layer,0,73,Fog Seal,2,Seal Coat,
4,Arizona,1018,3,5,AC,Asphalt concrete layer,2.54,11,Single Surface Treatment,10,Surface Treatment,
4,Arizona,1018,4,5,AC,Asphalt concrete layer,0,11,Single Surface Treatment,10,Surface Treatment,
4,Arizona,1018,5,5,AC,Asphalt concrete layer,0,11,Single Surface Treatment,10,Surface Treatment,
4,Arizona,1021,1,5,AC,Asphalt concrete layer,2.54,82,Sand Seal,10,Surface Treatment,
4,Arizona,1021,2,5,AC,Asphalt concrete layer,2.54,82,Sand Seal,10,Surface Treatment,
4,Arizona,1021,3,5,AC,Asphalt concrete layer,2.54,82,Sand Seal,10,Surface Treatment,
4,Arizona,1021,4,5,AC,Asphalt concrete layer,2.54,82,Sand Seal,10,Surface Treatment,
4,Arizona,1021,5,5,AC,Asphalt concrete layer,0,82,Sand Seal,10,Surface Treatment,
4,Arizona,1021,6,5,AC,Asphalt concrete layer,0,82,Sand Seal,10,Surface Treatment,
4,Arizona,1021,6,8,AC,Asphalt concrete layer,7.62,72,Slurry Seal,10,Surface Treatment,
4,Arizona,1024,7,5,AC,Asphalt concrete layer,2.54,73,Fog Seal,2,Seal Coat,
4,Arizona,1024,8,5,AC,Asphalt concrete layer,0,73,Fog Seal,2,Seal Coat,
4,Arizona,1025,4,5,AC,Asphalt concrete layer,2.54,73,Fog Seal,2,Seal Coat,
4,Arizona,1025,5,5,AC,Asphalt concrete layer,0,73,Fog Seal,2,Seal Coat,
4,Arizona,1025,6,5,AC,Asphalt concrete layer,0,73,Fog Seal,2,Seal Coat,
4,Arizona,1025,7,5,AC,Asphalt concrete layer,0,73,Fog Seal,2,Seal Coat,
4,Arizona,1034,2,5,AC,Asphalt concrete layer,2.54,11,Single Surface Treatment,10,Surface Treatment,
4,Arizona,1034,3,5,AC,Asphalt concrete layer,2.54,11,Single Surface Treatment,10,Surface Treatment,
4,Arizona,1034,3,6,AC,Asphalt concrete layer,2.54,11,Single Surface Treatment,10,Surface Treatment,
4,Arizona,1034,4,5,AC,Asphalt concrete layer,2.54,11,Single Surface Treatment,10,Surface Treatment,
4,Arizona,1034,4,6,AC,Asphalt concrete layer,2.54,11,Single Surface Treatment,10,Surface Treatment,
4,Arizona,1034,5,5,AC,Asphalt concrete layer,2.54,11,Single Surface Treatment,10,Surface Treatment,
4,Arizona,1034,5,6,AC,Asphalt concrete layer,2.54,11,Single Surface Treatment,10,Surface Treatment,
4,Arizona,1036,2,5,AC,Asphalt concrete layer,10.16,82,Sand Seal,2,Seal Coat,
4,Arizona,1037,2,5,AC,Asphalt concrete layer,10.16,82,Sand Seal,2,Seal Coat,
4,Arizona,1062,1,6,AC,Asphalt concrete layer,2.54,82,Sand Seal,10,Surface Treatment,
4,Arizona,1062,2,6,AC,Asphalt concrete layer,2.54,82,Sand Seal,10,Surface Treatment,
4,Arizona,1062,3,6,AC,Asphalt concrete layer,2.54,82,Sand Seal,10,Surface Treatment,
4,Arizona,1062,4,6,AC,Asphalt concrete layer,0,82,Sand Seal,10,Surface Treatment,
4,Arizona,1062,5,6,AC,Asphalt concrete layer,0,82,Sand Seal,10,Surface Treatment,
4,Arizona,1062,6,6,AC,Asphalt concrete layer,0,82,Sand Seal,10,Surface Treatment,
