STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,LAYER_NO,LAYER_TYPE,LAYER_TYPE_EXP,PROJECT_LAYER_CODE,MATL_CODE_EXP,MATL_CODE,REPR_THICKNESS,DESCRIPTION,DESCRIPTION_EXP,THREE_PASSING,TWO_PASSING,ONE_AND_HALF_PASSING,ONE_PASSING,THREE_FOURTHS_PASSING,ONE_HALF_PASSING,THREE_EIGHTHS_PASSING,NO_4_PASSING,NO_10_PASSING,NO_40_PASSING,NO_80_PASSING,NO_200_PASSING,LIQUID_LIMIT,PLASTIC_LIMIT,PLASTICITY_INDEX,AASHTO_SOIL_CLASS_EXP,AASHTO_SOIL_CLASS,SPEC_GRAVITY,MAX_LAB_DRY_DENSITY,OPTIMUM_LAB_MOISTURE,RESILIENT_MODULUS,RESILIENT_MODULUS_K1,RESILIENT_MODULUS_K2,RESILIENT_MODULUS_K3,POISSONS_RATIO,HYDRAULIC_CONDUCTIVITY
4,Arizona,1001,1,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Silty Sand with Gravel,215,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Arizona,1001,2,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Silty Sand with Gravel,215,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Arizona,1002,1,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Silty Gravel with Sand,265,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Arizona,1002,2,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Silty Gravel with Sand,265,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Arizona,1002,3,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Silty Gravel with Sand,265,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Arizona,1003,1,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Clayey Sand with Gravel,217,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Arizona,1003,1,2,GB,Unbound (granular) base,,Soil-Aggregate Mixture (Predominantly Coarse-Grained),308,152.4,5,Base Layer,100,100,100,98.5,96,92.5,89,78.5,63,34.5,19,13.100000381469727,13,9,8,A-1-b,503,2.7070000171661377,2114.64,8,61.366,832.462,0.6579999923706055,-0.3499999940395355,0.3499999940395355,0.002303
4,Arizona,1003,2,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Clayey Sand with Gravel,217,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Arizona,1003,2,2,GB,Unbound (granular) base,,Soil-Aggregate Mixture (Predominantly Coarse-Grained),308,152.4,5,Base Layer,100,100,100,98.5,96,92.5,89,78.5,63,34.5,19,13.100000381469727,13,9,8,A-1-b,503,2.7070000171661377,2114.64,8,61.366,832.462,0.6579999923706055,-0.3499999940395355,0.3499999940395355,0.002303
4,Arizona,1003,3,1,SS,Subgrade (untreated),,Coarse-Grained Soil: Clayey Sand with Gravel,217,,7,Subgrade,,,,,,,,,,,,,,,,,,,,,,,,,,
