TABLE_NAME,FIELD_NAME,FIELD_ALIAS,DESCRIPTION,UNITS,UNIT_SYSTEM
MERRA_GRID_SECTION,STATE_CODE,State Code,Numerical code for state or province. U.S. codes are consistent with Federal Information Processing Standards.,,
MERRA_GRID_SECTION,MERRA_ID,MERRA Cell Grid Identifier,Unique identification for each MERRA cell.,,
MERRA_GRID_SECTION,SHRP_ID,LTPP Section Identifier,Test section identification number assigned by LTPP program. Must be combined with STATE_CODE to be unique.,,
MERRA_GRID_SECTION,ELEVATION,Elevation,Elevation of the MERRA cell centroid.,m,SI
MERRA_GRID_SECTION,LATITUDE,Latitude,Latitude of the MERRA cell centroid.,deg,SI/US
MERRA_GRID_SECTION,LONGITUDE,Longitude,Longitude of the MERRA cell centroid.,deg,SI/US
VW_MERRA_BIND_CLIMATE_DATA,MERRA_ID,MERRA Cell Grid Identifier,Identification of MERRA grid cell.,,
VW_MERRA_BIND_CLIMATE_DATA,STATE_CODE,State Code,Numerical code for state or province. U.S. codes are consistent with Federal Information Processing Standards.,,
VW_MERRA_BIND_CLIMATE_DATA,SHRP_ID,LTPP Section Identifier,Test section identification number assigned by LTPP program. Must be combined with STATE_CODE to be unique.,,
VW_MERRA_BIND_CLIMATE_DATA,DEGREE_DAYS_OVER_10C_YR,Degree Days Over 10C Full Year,Sum of average air temperature over 10 degrees C over the entire year.,deg C degree days,SI
VW_MERRA_BIND_CLIMATE_DATA,COLDEST_AIR_TEMP,Coldest Air Temperature,Coldest yearly air temperature,deg C,SI
VW_MERRA_BIND_CLIMATE_DATA,HIGH_TEMP_7DAYS,Highest 7-Day Avg High Temperature,Average daily high air temperature for the highest 7 consecutive days in the year.,deg C,SI
VW_MERRA_BIND_CLIMATE_DATA,MAX_AVG_TEMP_HIGH_7DAYS,50% Reliability High Pavement Subsurface Temperature,Fifty percent reliability high pavement  temperature 20 mm below surface.,deg C,SI
VW_MERRA_BIND_CLIMATE_DATA,MAX_TEMP_HIGH_7DAYS,98% Reliability High Pavement Subsurface Temperature,Ninety-eight percent reliability high pavement temperature 20 mm below surface.,deg C,SI
VW_MERRA_BIND_CLIMATE_DATA,MIN_SURFACE_50_TEMP,50% Reliability Low Pavement Surface Temperature,Fifty percent reliability low pavement surface temperature.,deg C,SI
VW_MERRA_BIND_CLIMATE_DATA,MIN_SURFACE_98_TEMP,98% Reliability Low Pavement Surface Temperature,Ninety-eight percent reliability low pavement surface temperature.,deg C,SI
VW_MERRA_BIND_CLIMATE_DATA,STDDEV_HIGH_TEMP_7DAYS,Standard Dev. of the high 7 days ,Standard Dev. of the high 7 days ,deg C,SI
VW_MERRA_BIND_CLIMATE_DATA,STDDEV_COLDEST_AIR_TEMP,"Low Air Temp Standard Deviation, ºC","Low Air Temp Standard Deviation, ºC",deg C,SI
VW_MERRA_HUMID_MONTH,MERRA_ID,MERRA Cell Grid Identifier,Unique identification for each MERRA cell.,,
