STATE_CODE,MERRA_ID,SHRP_ID,ELEVATION,LATITUDE,LONGITUDE
4,134319,D330,1289,31.5,-111.25
4,134319,1016,1289,31.5,-111.25
4,136621,B902,379,33.5,-112.5
13,137241,508,296,34,-85
13,137241,509,296,34,-85
13,137243,4111,307,34,-83.75
4,138922,A330,898,35.5,-114.375
4,138922,A901,898,35.5,-114.375
39,144732,902,301,40.5,-83.125
39,144732,112,301,40.5,-83.125
39,144732,107,301,40.5,-83.125
87,148770,1680,307,44,-79.375
87,148770,AA61,307,44,-79.375
87,148770,AA62,307,44,-79.375
87,149922,B340,226,45,-79.375
4,134895,C350,1056,32,-111.25
4,134896,6053,1069,32,-110.625
13,135515,1005,127,32.5,-83.75
4,136621,264,379,33.5,-112.5
4,136621,268,379,33.5,-112.5
4,136621,B901,379,33.5,-112.5
4,136621,1007,379,33.5,-112.5
4,136621,214,379,33.5,-112.5
4,136621,216,379,33.5,-112.5
4,136621,221,379,33.5,-112.5
4,136621,222,379,33.5,-112.5
13,137241,566,296,34,-85
4,138347,B330,1139,35,-113.75
4,138922,902,898,35.5,-114.375
4,138922,A310,898,35.5,-114.375
4,138922,A902,898,35.5,-114.375
4,138922,119,898,35.5,-114.375
4,138922,121,898,35.5,-114.375
4,138922,124,898,35.5,-114.375
4,138922,160,898,35.5,-114.375
39,144732,160,301,40.5,-83.125
39,144732,201,301,40.5,-83.125
39,144732,211,301,40.5,-83.125
39,144732,212,301,40.5,-83.125
39,144732,105,301,40.5,-83.125
87,148770,AA01,307,44,-79.375
87,149346,A330,219,44.5,-79.375
87,149922,B360,226,45,-79.375
13,133787,4092,76,31,-83.75
4,134895,C330,1056,32,-111.25
4,136621,263,379,33.5,-112.5
4,136621,267,379,33.5,-112.5
4,136621,B959,379,33.5,-112.5
4,136621,7079,379,33.5,-112.5
4,136621,213,379,33.5,-112.5
4,136621,217,379,33.5,-112.5
13,137241,504,296,34,-85
13,137241,561,296,34,-85
13,137241,562,296,34,-85
13,137819,3019,431,34.5,-83.75
4,138348,1065,1705,35,-113.125
4,138922,1036,898,35.5,-114.375
4,138922,113,898,35.5,-114.375
4,138922,116,898,35.5,-114.375
4,138922,117,898,35.5,-114.375
4,138922,120,898,35.5,-114.375
4,138922,123,898,35.5,-114.375
39,144732,903,301,40.5,-83.125
39,144732,809,301,40.5,-83.125
87,148770,BA03,307,44,-79.375
87,149346,A350,219,44.5,-79.375
87,149922,1622,226,45,-79.375
87,149922,B330,226,45,-79.375
87,149922,B362,226,45,-79.375
87,151077,962,195,46,-77.5
87,151077,902,195,46,-77.5
4,134319,D310,1289,31.5,-111.25
4,134319,D350,1289,31.5,-111.25
4,134895,1017,1056,32,-111.25
4,134895,1018,1056,32,-111.25
4,134895,6054,1056,32,-111.25
4,136621,260,379,33.5,-112.5
4,136621,265,379,33.5,-112.5
4,136621,220,379,33.5,-112.5
13,137241,503,296,34,-85
13,137241,505,296,34,-85
13,137241,563,296,34,-85
4,138347,1021,1139,35,-113.75
4,138347,1022,1139,35,-113.75
4,138348,1062,1705,35,-113.125
4,138922,903,898,35.5,-114.375
4,138922,A320,898,35.5,-114.375
4,138922,A903,898,35.5,-114.375
4,138922,115,898,35.5,-114.375
4,138922,163,898,35.5,-114.375
4,138924,1025,1593,35.5,-113.125
39,144732,106,301,40.5,-83.125
39,144732,202,301,40.5,-83.125
39,144732,207,301,40.5,-83.125
39,144732,108,301,40.5,-83.125
39,144732,102,301,40.5,-83.125
87,149346,A311,219,44.5,-79.375
87,151077,961,195,46,-77.5
87,151077,901,195,46,-77.5
13,133790,4113,31,31,-81.875
4,134319,D320,1289,31.5,-111.25
4,134895,C320,1056,32,-111.25
4,136621,266,379,33.5,-112.5
4,136621,B960,379,33.5,-112.5
13,137241,502,296,34,-85
4,138347,B320,1139,35,-113.75
4,138922,118,898,35.5,-114.375
39,144732,262,301,40.5,-83.125
39,144732,263,301,40.5,-83.125
39,144732,103,301,40.5,-83.125
39,144732,110,301,40.5,-83.125
87,148770,1806,307,44,-79.375
87,148770,AA02,307,44,-79.375
87,148770,BA01,307,44,-79.375
87,148770,BA02,307,44,-79.375
13,133786,4093,47,31,-84.375
13,133790,5023,31,31,-81.875
4,134319,6060,1289,31.5,-111.25
13,134943,4420,4,32,-81.25
4,136621,262,379,33.5,-112.5
4,136621,B903,379,33.5,-112.5
4,136621,B961,379,33.5,-112.5
4,136621,1006,379,33.5,-112.5
4,136621,223,379,33.5,-112.5
4,137194,1034,102,34,-114.375
13,137241,4119,296,34,-85
13,137241,506,296,34,-85
13,137241,565,296,34,-85
13,137243,1001,307,34,-83.75
13,137819,1031,431,34.5,-83.75
4,138347,B350,1139,35,-113.75
4,138922,A350,898,35.5,-114.375
4,138922,A390,898,35.5,-114.375
4,138922,122,898,35.5,-114.375
4,138922,161,898,35.5,-114.375
4,138922,162,898,35.5,-114.375
39,144732,159,301,40.5,-83.125
39,144732,204,301,40.5,-83.125
39,144732,259,301,40.5,-83.125
39,144732,265,301,40.5,-83.125
39,144732,104,301,40.5,-83.125
39,144732,810,301,40.5,-83.125
39,144732,101,301,40.5,-83.125
39,144732,109,301,40.5,-83.125
87,148770,AA03,307,44,-79.375
87,148770,BA62,307,44,-79.375
87,149346,A320,219,44.5,-79.375
87,149346,A340,219,44.5,-79.375
87,149922,B311,226,45,-79.375
87,149922,B320,226,45,-79.375
4,134319,1015,1289,31.5,-111.25
4,134895,C310,1056,32,-111.25
4,136045,6055,396,33,-112.5
4,136621,261,379,33.5,-112.5
4,136621,215,379,33.5,-112.5
4,136621,218,379,33.5,-112.5
4,136621,219,379,33.5,-112.5
13,137241,507,296,34,-85
13,137241,564,296,34,-85
4,138349,1002,1633,35,-112.5
4,138922,114,898,35.5,-114.375
39,144732,261,301,40.5,-83.125
39,144732,264,301,40.5,-83.125
39,144732,111,301,40.5,-83.125
39,144732,A803,301,40.5,-83.125
87,149346,1620,219,44.5,-79.375
87,149346,A310,219,44.5,-79.375
87,151077,903,195,46,-77.5
13,133790,4112,31,31,-81.875
13,134361,4096,85,31.5,-85
4,134895,C340,1056,32,-111.25
13,136090,1004,351,33,-84.375
4,136620,1003,350,33.5,-113.125
4,136621,224,379,33.5,-112.5
4,136621,B964,379,33.5,-112.5
4,136621,1001,379,33.5,-112.5
4,136621,7614,379,33.5,-112.5
4,138346,1037,793,35,-114.375
4,138347,B310,1139,35,-113.75
4,138924,1024,1593,35.5,-113.125
39,144732,901,301,40.5,-83.125
39,144732,203,301,40.5,-83.125
39,144732,205,301,40.5,-83.125
39,144732,206,301,40.5,-83.125
39,144732,208,301,40.5,-83.125
39,144732,209,301,40.5,-83.125
39,144732,210,301,40.5,-83.125
39,144732,260,301,40.5,-83.125
39,144732,A804,301,40.5,-83.125
87,148770,BA61,307,44,-79.375
87,149922,B310,226,45,-79.375
87,149922,B361,226,45,-79.375
87,151077,960,195,46,-77.5
