MERRA_ID,YEAR,MONTH,REL_HUM_AVG_AVG
133787,2014,3,82
133787,2014,4,84
134319,2014,7,50
134895,2014,7,45
138349,2014,2,45
134896,2014,1,35
136045,2014,2,36
136090,2014,1,76
137241,2014,4,80
149346,2014,1,80
149346,2014,2,79
136090,2014,5,79
137194,2014,3,24
138346,2014,5,17
138922,2014,1,33
134361,2014,10,71
134361,2014,12,85
136090,2014,4,81
136090,2014,6,78
138348,2014,4,30
138348,2014,5,24
136621,2014,4,19
149346,2014,5,75
134943,2014,10,71
136620,2014,7,27
136620,2014,10,32
138349,2014,12,64
138924,2014,7,42
148770,2014,7,67
149346,2014,11,80
149922,2014,11,79
151077,2014,8,76
151077,2014,11,77
138348,2014,9,48
136621,2014,8,38
138347,2014,10,38
138347,2014,11,37
138347,2014,12,58
138348,2014,10,41
134943,2014,11,72
137194,2014,12,49
137243,2014,12,86
148770,2014,10,81
148770,2014,9,73
136045,2014,12,51
144732,2014,12,83
134319,2014,3,36
134319,2014,9,61
134895,2014,3,34
133790,2014,5,75
134361,2014,2,85
134361,2014,3,82
137819,2014,5,79
137194,2014,1,28
133790,2014,8,74
134361,2014,6,82
136090,2014,2,84
136621,2014,1,35
137241,2014,6,79
135515,2014,3,81
135515,2014,5,80
136045,2014,6,14
136620,2014,3,28
138346,2014,3,27
144732,2014,3,75
144732,2014,6,78
149922,2014,1,78
133790,2014,11,74
133790,2014,12,87
134361,2014,9,74
134896,2014,4,24
138346,2014,6,13
134943,2014,9,81
135515,2014,6,79
135515,2014,8,65
144732,2014,10,75
149346,2014,9,73
149346,2014,10,81
137241,2014,12,86
138346,2014,9,37
148770,2014,3,78
135515,2014,11,67
149346,2014,12,82
134896,2014,12,59
136621,2014,12,49
133787,2014,6,82
133786,2014,10,72
133786,2014,12,86
134319,2014,12,57
134895,2014,4,21
137819,2014,7,71
134895,2014,8,50
134895,2014,6,16
135515,2014,1,78
151077,2014,2,85
133790,2014,7,71
138346,2014,1,28
138348,2014,1,35
136621,2014,2,34
137243,2014,1,75
134943,2014,5,71
137194,2014,5,18
137243,2014,5,79
138924,2014,1,37
138924,2014,2,43
149922,2014,2,76
149922,2014,5,70
134361,2014,11,70
136045,2014,7,28
135515,2014,7,71
136045,2014,9,41
136620,2014,12,49
138922,2014,7,31
144732,2014,7,74
