MERRA_ID,YEAR,MONTH,PRECIPITATION,EVAPORATION,PRECIP_DAYS
133787,2014,5,103.51,158.56,31
134319,2014,12,34.96,20.08,31
133786,2014,9,106.29,94.71,30
133790,2014,5,92.14,131.66,31
134895,2014,5,0.74,1.53,31
133790,2014,9,259.41,107.98,30
134361,2014,6,97.57,136.18,30
134361,2014,8,89.57,90.1,31
134361,2014,10,24.6,78.08,31
134895,2014,7,65.57,54.99,31
134895,2014,11,0.91,24.19,30
136621,2014,7,24.2,16.91,31
137819,2014,4,253.08,121.63,30
136621,2014,5,8.35,0.89,31
137819,2014,12,90.35,40.71,31
134943,2014,1,94.68,53.53,31
134943,2014,3,149.74,76.74,31
135515,2014,7,101.21,128.83,31
136090,2014,9,86.27,77.16,30
136090,2014,11,101.53,39.59,30
138349,2014,2,9.55,17.81,28
138349,2014,4,12.47,29.14,30
138349,2014,8,76.38,60.83,31
134943,2014,9,305.46,97.27,30
136620,2014,9,53.18,39.97,30
136620,2014,10,50.44,12.96,31
134896,2014,7,101.95,48.12,31
134896,2014,8,159.22,55.04,31
136045,2014,3,3.03,22.42,31
136045,2014,5,4.17,0.67,31
138346,2014,8,142.57,52.41,31
138348,2014,6,0,3.89,30
144732,2014,3,74.05,41.45,31
138347,2014,7,52.29,38.65,31
138347,2014,10,0.36,28.82,31
138348,2014,12,63.26,11.69,31
138922,2014,1,0.19,7.89,31
138922,2014,8,54,43.37,31
138922,2014,9,30.1,36.47,30
149346,2014,6,104.7,58.42,30
151077,2014,4,142.05,50.88,30
148770,2014,10,78.36,38.55,31
149922,2014,6,177.13,55.7,30
149922,2014,7,167.14,63.89,31
149346,2014,8,75.43,62.26,31
149922,2014,9,134.28,40.24,30
149346,2014,12,87,21.89,31
133786,2014,5,67.02,158.26,31
133786,2014,8,74.87,82.2,31
133787,2014,1,122.82,44.49,31
134319,2014,2,2.27,10.7,28
133790,2014,8,105.56,112.74,31
134895,2014,1,0.56,19.65,31
133790,2014,10,17.53,110.65,31
134361,2014,9,72.21,88.52,30
134895,2014,8,175.09,61.18,31
136620,2014,1,0,19.96,31
137194,2014,5,0.25,1.65,31
137243,2014,5,136.23,157.45,31
137243,2014,7,144.56,120.55,31
137243,2014,9,43.56,77.9,30
137819,2014,6,203.77,148.67,30
137819,2014,3,115.71,86.88,31
137819,2014,11,106.55,44.56,30
135515,2014,2,135.6,55.84,28
135515,2014,8,78.65,82.61,31
136090,2014,1,70.78,45.06,31
136090,2014,10,48.06,69.67,31
138348,2014,1,0.78,14.17,31
138349,2014,1,0.5,17.02,31
138349,2014,3,33.33,28.51,31
134943,2014,2,86.27,49.77,28
138347,2014,1,0.29,12.82,31
134896,2014,6,0,0.8,30
136045,2014,1,0.02,18.77,31
136045,2014,4,1.02,2.56,30
138346,2014,4,5,4.7,30
144732,2014,10,104.18,33.13,31
138346,2014,10,0.12,16.15,31
138924,2014,7,94.67,42.02,31
138924,2014,10,1.96,23.98,31
138348,2014,9,39.22,45.01,30
138922,2014,5,1.04,4.27,31
148770,2014,4,153.94,57.48,30
148770,2014,6,85.6,81.69,30
151077,2014,9,114.91,68.63,30
151077,2014,10,140.85,41.1,31
149346,2014,9,142.67,54.88,30
151077,2014,12,78.39,11.25,31
149922,2014,1,95.42,11.55,31
133790,2014,1,95.34,55.53,31
134319,2014,3,14.46,29.61,31
134319,2014,4,1.17,10.69,30
133786,2014,10,27.05,82.93,31
134895,2014,9,58.84,65.21,30
134361,2014,1,122.17,46.53,31
134895,2014,10,15.73,48.38,31
136621,2014,4,1.06,3.49,30
137243,2014,3,163.2,87.87,31
135515,2014,4,202.28,127.58,30
136620,2014,11,0.02,0.82,30
138924,2014,1,2.19,12.1,31
136620,2014,3,3.89,16.12,31
136620,2014,5,4.43,0.76,31
137243,2014,12,92.8,37.85,31
138347,2014,2,33.9,8.31,28
138347,2014,3,11.43,15.93,31
138347,2014,4,10.19,8.36,30
138348,2014,3,24.59,20.6,31
138348,2014,4,14.29,18.45,30
144732,2014,2,96.08,20.58,28
138924,2014,3,13.97,20.81,31
138924,2014,11,2.62,10.72,30
138347,2014,12,56.5,11.22,31
149346,2014,7,167.05,72.77,31
138924,2014,12,54.94,10.01,31
151077,2014,3,72.97,30.07,31
149922,2014,4,152.69,27.61,30
148770,2014,11,81.31,27.68,30
149922,2014,3,96.45,17.42,31
133787,2014,4,174.06,126.58,30
133787,2014,8,74.99,82.37,31
133787,2014,9,111.36,97.93,30
134319,2014,9,129.88,82.78,30
133790,2014,4,177.87,127.91,30
133790,2014,12,132.71,49.11,31
136621,2014,6,0,0.44,30
137243,2014,4,249.56,119.89,30
136621,2014,8,34.66,53.17,31
136621,2014,9,87.38,53.02,30
136621,2014,10,48.98,30.07,31
137194,2014,9,8.68,36.38,30
137819,2014,7,179.64,125.98,31
136620,2014,7,66.73,18.67,31
136620,2014,8,18.79,47.48,31
137241,2014,1,77.65,41,31
137241,2014,3,150.52,84.76,31
138348,2014,2,27.47,12.7,28
137241,2014,2,124.65,56.55,28
137241,2014,9,31.42,64.75,30
137194,2014,11,0.09,0.85,30
138349,2014,11,2.06,15.23,30
138349,2014,5,1.78,27.91,31
138349,2014,6,0,11.31,30
134943,2014,12,139.32,42.83,31
135515,2014,11,108.35,32.16,30
136045,2014,2,0.08,16.93,28
136045,2014,6,0,0.41,30
136045,2014,7,10.53,17.84,31
136045,2014,10,24.06,28.3,31
137241,2014,12,73.2,39.42,31
138346,2014,6,0,0.63,30
138348,2014,5,4.21,12.78,31
134896,2014,11,1.87,22.27,30
144732,2014,6,153.15,141.13,30
138348,2014,7,82.16,38.91,31
138348,2014,8,97.28,54.04,31
138348,2014,10,3.08,28.54,31
138922,2014,2,13.55,5.28,28
138922,2014,3,8,8.82,31
138922,2014,12,34.43,10.77,31
138924,2014,8,95.67,49.63,31
138348,2014,11,2.78,13.18,30
151077,2014,1,57.67,12.52,31
151077,2014,2,43.93,16,28
151077,2014,5,110.61,94.3,31
148770,2014,12,64.98,17.96,31
133786,2014,2,172.72,67.63,28
