MERRA_ID,YEAR,PRECIPITATION,EVAPORATION,PRECIP_DAYS
133786,2014,1350.18,1124.48,365
134361,2014,1409.12,1101.26,365
134895,2014,369.03,337.18,365
136621,2014,222.8,237.25,365
133787,2014,1286.2,1100.99,365
136090,2014,1293.9,1028.56,365
137243,2014,1383,1042.57,365
151077,2014,1240.53,729.17,365
138346,2014,234.98,182.37,365
134943,2014,1474.25,1004.61,365
137819,2014,1451.52,1086.2,365
138348,2014,359.11,273.95,365
138349,2014,285.46,345.29,365
138922,2014,202.82,168.5,365
144732,2014,1225.75,789.78,365
133790,2014,1458.4,1133.44,365
137194,2014,114.52,150.69,365
148770,2014,1147.11,575.1,365
135515,2014,1334.59,1050.13,365
138924,2014,342.78,267.46,365
149346,2014,1263.99,491.78,365
134319,2014,500.65,397.17,365
134896,2014,415.82,316.35,365
136045,2014,145.65,210.37,365
137241,2014,1156.3,1014.03,365
149922,2014,1458.22,388.66,365
136620,2014,214.29,181.34,365
138347,2014,332.08,244,365
133790,2015,1117.44,1101.86,365
151077,2015,1009.72,713.43,365
133786,2015,1107.73,1125.96,365
134895,2015,366.12,385.28,365
138349,2015,332.19,484.35,365
149346,2015,1004.37,467.3,365
136621,2015,227.68,202.52,365
138347,2015,296.82,298.68,365
138922,2015,217.89,221.89,365
138924,2015,350.41,374.06,365
148770,2015,1003.43,551.62,365
137241,2015,1467.05,1076.02,365
138346,2015,160.91,212.03,365
133787,2015,1102.89,1112.59,365
136090,2015,1485.1,1099.38,365
138348,2015,408.42,385.9,365
149922,2015,1056.94,344.57,365
134319,2015,466.49,408.91,365
134361,2015,1112.48,1073.45,365
134896,2015,418.02,422.62,365
134943,2015,1250.72,1080.75,365
136620,2015,166.47,177.9,365
137194,2015,112.22,143.01,365
144732,2015,1401.38,766.87,365
137819,2015,1746.47,1120.58,365
135515,2015,1254.36,1067.21,365
136045,2015,258.35,171.17,365
137243,2015,1645.01,1133.83,365
133786,2016,881.8,1182.43,366
133787,2016,974.3,1171.88,366
137194,2016,131.08,88.82,366
137241,2016,816.14,889.12,366
138924,2016,449.4,330.76,366
148770,2016,1043.24,551.92,366
135515,2016,990.03,943.5,366
137819,2016,844.46,933.24,366
138348,2016,562.52,327.89,366
134319,2016,368.76,338.21,366
134943,2016,1250.25,1106.44,366
133790,2016,1158.87,1041.55,366
134896,2016,375.09,372.36,366
136045,2016,207.6,134.64,366
138347,2016,396.74,249.4,366
138922,2016,296.18,194.99,366
136620,2016,131.72,132.17,366
136621,2016,174.77,153.58,366
137243,2016,817.37,940.2,366
138349,2016,429.24,420.19,366
151077,2016,1249.64,786.05,366
136090,2016,817.06,918.68,366
138346,2016,207.09,167.61,366
149346,2016,1229.88,498.83,366
134361,2016,1029.51,1066.04,366
134895,2016,264.13,305.78,366
144732,2016,1245.41,752.88,366
149922,2016,1315.59,352.91,366
134361,2018,1380.05,1138.22,365
134896,2018,613.51,317.05,365
134943,2018,1332.59,992.85,365
136620,2018,216.13,148.96,365
137243,2018,1847.08,1145.47,365
138347,2018,274.92,206.84,365
134895,2018,430.08,316.56,365
136621,2018,216.82,183.39,365
133786,2018,1229.01,1128.14,365
134319,2018,608.89,354.73,365
137194,2018,106.57,89.95,365
138346,2018,216.01,161.13,365
138348,2018,381.48,268.11,365
144732,2018,1566.84,849.49,365
149922,2018,1311.64,368.02,365
133787,2018,1191.14,1158.36,365
136090,2018,1731.45,1129.59,365
138349,2018,313.14,337.44,365
138922,2018,202.84,185.36,365
148770,2018,1327.83,583.33,365
136045,2018,171.97,193.74,365
133790,2018,1433.06,1089.47,365
135515,2018,1532.94,1076.34,365
137819,2018,1877.01,1229.34,365
151077,2018,1053.31,801.63,365
137241,2018,1481.74,1129.01,365
138924,2018,355.07,268.77,365
149346,2018,1309.41,508.98,365
133786,2017,954.81,1079.43,365
136090,2017,1394.05,1183.41,365
134319,2017,376,345.93,365
134361,2017,915.8,1092.71,365
134895,2017,401.46,279.96,365
134896,2017,394.66,294.04,365
138924,2017,401.84,390.28,365
137243,2017,1334.3,1178.19,365
149346,2017,1379.37,569.09,365
151077,2017,1440.98,820.76,365
136621,2017,278.31,186.84,365
144732,2017,1342.03,844.87,365
149922,2017,1461.78,415.9,365
133790,2017,1339.09,1158.11,365
134943,2017,1050.92,1087.87,365
136045,2017,195.05,142.96,365
137194,2017,220.78,154.66,365
137241,2017,1630.92,1156.75,365
137819,2017,1425.52,1214.1,365
138346,2017,271.14,187.55,365
138348,2017,428.62,394.14,365
138922,2017,357.72,222.71,365
148770,2017,1381.55,645.79,365
133787,2017,922.01,1088.38,365
136620,2017,262.24,169.37,365
138347,2017,356.31,282.91,365
135515,2017,1006.74,1110.37,365
138349,2017,395.71,508.4,365
138349,2019,570.33,473.82,365
149922,2019,1486.12,470.1,365
136620,2019,329.51,185.42,365
149346,2019,1449.09,554.3,365
133787,2019,1049.08,1085.98,365
133790,2019,1277.26,993.97,365
134895,2019,445.05,347.2,365
134943,2019,1166.84,1048.78,365
137194,2019,195.5,140.98,365
136045,2019,415.88,196.93,365
136090,2019,1165.37,1054.9,365
137819,2019,1835.46,1133.87,365
138347,2019,532.46,262.14,365
134319,2019,546.09,392.27,365
136621,2019,541.19,218.67,365
138346,2019,312.31,212.43,365
134361,2019,960.68,1058.67,365
137241,2019,1491.18,1049.7,365
137243,2019,1471.33,1086.57,365
138348,2019,701.33,356.9,365
138922,2019,318.83,220.26,365
138924,2019,573.32,341.09,365
144732,2019,1361.49,900.96,365
148770,2019,1279.52,597.04,365
151077,2019,1325.49,767.72,365
133786,2019,992.49,1043.51,365
134896,2019,575.69,374.82,365
135515,2019,942.15,982.83,365
133787,2020,1058.38,1164.26,366
135515,2020,1221.13,1181.94,366
136090,2020,1465.71,1192.86,366
138922,2020,69.75,191.47,366
138924,2020,184.28,258.26,366
148770,2020,902.64,534.13,366
134319,2020,290.93,310.61,366
137243,2020,1755.5,1196.46,366
138347,2020,136.35,220.37,366
138348,2020,207.62,283.37,366
133790,2020,1038.56,1162.67,366
149922,2020,1143.39,371.53,366
151077,2020,1223.4,809.24,366
134943,2020,1242.62,1106.41,366
136045,2020,134.8,159.57,366
133786,2020,1033.82,1141.41,366
136620,2020,131.19,184.75,366
137819,2020,1962.82,1231.71,366
138346,2020,66.53,177.61,366
144732,2020,1178.06,828.26,366
134896,2020,377.84,288.41,366
137194,2020,153.58,142.43,366
137241,2020,1630.58,1140.18,366
134361,2020,1245.31,1132.51,366
134895,2020,265.2,241.96,366
136621,2020,161.86,194.54,366
138349,2020,178.28,379.01,366
149346,2020,1006.49,474.8,366
133786,2022,885.97,968.33,365
134895,2022,301.35,318.24,365
137819,2022,1144.59,1065.81,365
133790,2022,1021.32,955.25,365
134896,2022,406.03,377.53,365
134943,2022,1131.64,966.56,365
135515,2022,818.92,931.52,365
136621,2022,128.98,234.23,365
138924,2022,458.77,262.05,365
134361,2022,924.42,943.96,365
136045,2022,143.96,216.43,365
137241,2022,1197.94,1007.72,365
138347,2022,319.69,241.01,365
138348,2022,387.2,289.04,365
138922,2022,205.62,197.31,365
137243,2022,983.21,995.9,365
144732,2022,1363.74,877.56,365
149346,2022,1269.1,462.6,365
149922,2022,1252.94,319.11,365
136090,2022,922.5,974.63,365
138346,2022,161.63,171.58,365
138349,2022,295.41,385.77,365
133787,2022,1047.11,1005.07,365
134319,2022,296.1,335.72,365
136620,2022,87.22,201.85,365
137194,2022,132.31,97.75,365
148770,2022,1105.71,533.77,365
151077,2022,1234.71,631.58,365
137241,2021,1196.86,1138.62,365
138349,2021,530.51,364.02,365
134319,2021,500.74,333.25,365
134895,2021,347.13,329.98,365
137819,2021,1252.83,1251.9,365
138924,2021,494.63,234.7,365
138346,2021,187.55,105.34,365
134896,2021,523.9,347.02,365
136045,2021,211.66,197.43,365
134361,2021,1384.74,1138.82,365
134943,2021,1557.81,1006.38,365
138347,2021,350.14,183.84,365
148770,2021,997.69,528.8,365
149346,2021,1081,450.26,365
133790,2021,1481.42,1046.38,365
136621,2021,223.01,197.93,365
137194,2021,171.03,58.68,365
137243,2021,1263.46,1145.56,365
138922,2021,200.85,120.2,365
149922,2021,1198.06,318.41,365
151077,2021,1047.6,719.67,365
133786,2021,1381.25,1173.33,365
133787,2021,1474.19,1184.7,365
144732,2021,1275.52,799.01,365
135515,2021,1023.09,1127.72,365
136090,2021,1076.38,1108.77,365
136620,2021,205.09,140.39,365
138348,2021,539.39,265.55,365
138922,2024,135.4,126.25,366
134895,2024,176.42,320.71,366
137819,2024,1219.41,1116.15,366
138347,2024,287.2,181.28,366
133786,2024,1254.69,1176.27,366
134319,2024,277.09,353.36,366
134943,2024,1780.65,1082.96,366
136045,2024,124.86,174.73,366
138346,2024,130.34,117.61,366
151077,2024,1207.18,527.46,366
136621,2024,141.15,164.71,366
148770,2024,1038.94,589.12,366
134361,2024,1305.74,1149.84,366
134896,2024,236.21,337.16,366
136090,2024,1291.25,1109.65,366
