MERRA_ID,YEAR,MONTH,CLOUD_COVER_AVG,SHORTWAVE_SURFACE_AVG
133790,2014,1,0.54,2992.9
133787,2014,4,0.52,5689.7
133787,2014,5,0.48,6324.9
133786,2014,7,0.56,6168.2
133787,2014,12,0.49,3041.7
133790,2014,2,0.49,4132.5
134319,2014,1,0.36,3921.9
134319,2014,5,0.25,8422.9
134895,2014,1,0.36,3885.3
133790,2014,5,0.48,6342.5
134895,2014,5,0.25,8419.6
134895,2014,8,0.38,6255
134361,2014,4,0.54,5619.9
134943,2014,3,0.49,4972.7
134943,2014,9,0.69,4182.4
135515,2014,4,0.54,5660.2
137194,2014,1,0.41,3518.8
138346,2014,1,0.4,3428.7
138347,2014,1,0.4,3439
136620,2014,8,0.21,7109.2
137241,2014,2,0.62,3732.6
138924,2014,6,0.18,8990.4
136045,2014,8,0.22,7019.5
138348,2014,12,0.57,2710.4
138346,2014,11,0.25,3947
138346,2014,12,0.53,2710
138349,2014,8,0.3,6659.2
138924,2014,10,0.28,4886.1
136045,2014,10,0.24,5006.1
136045,2014,11,0.19,4108.9
136090,2014,10,0.27,4782.8
137819,2014,5,0.5,6564.9
138922,2014,7,0.45,6976.3
151077,2014,7,0.43,6251
137819,2014,10,0.33,4429
148770,2014,2,0.65,2562.9
138922,2014,10,0.25,4919.9
149346,2014,1,0.76,1469.8
149922,2014,7,0.44,6440.1
151077,2014,11,0.7,1357.1
148770,2014,4,0.58,4890
148770,2014,10,0.48,3075.6
149346,2014,8,0.45,5810.7
149346,2014,12,0.69,1139.4
133787,2014,1,0.5,3109.8
133786,2014,5,0.48,6373.9
133790,2014,3,0.5,5158.2
134319,2014,6,0.16,8750.3
134361,2014,1,0.45,3264
134895,2014,12,0.48,3143.9
134896,2014,7,0.63,5780.8
136620,2014,2,0.44,4461.1
136621,2014,8,0.22,7078.8
137243,2014,2,0.61,3808
136045,2014,1,0.39,3665.7
136620,2014,6,0.19,8660
137243,2014,6,0.62,6048.5
134943,2014,10,0.27,5064.9
138346,2014,2,0.41,4512.4
135515,2014,10,0.26,4931.5
138347,2014,5,0.3,8214.2
138346,2014,6,0.17,8787.6
144732,2014,3,0.56,4302.9
144732,2014,7,0.36,6860.6
144732,2014,8,0.49,6118
138347,2014,8,0.28,6704.3
138349,2014,9,0.16,6104.8
138922,2014,1,0.39,3370
151077,2014,3,0.67,3661
138924,2014,11,0.26,3907
138922,2014,3,0.38,5869
138349,2014,11,0.24,3973
151077,2014,6,0.56,6662.7
137194,2014,11,0.22,4032
