MERRA_ID,YEAR,CLOUD_COVER_AVG,SHORTWAVE_SURFACE_AVG
133787,2014,0.5,147275.8
134895,2014,0.33,178441.1
136621,2014,0.31,179341
138348,2014,0.35,175367.3
134361,2014,0.5,147422.7
144732,2014,0.55,134907.8
137241,2014,0.5,148628.2
137243,2014,0.49,149829.4
137819,2014,0.49,150763.6
138347,2014,0.34,176174
136090,2014,0.49,148412.8
137194,2014,0.31,178736.9
138349,2014,0.34,176122.5
138924,2014,0.35,174245.5
133786,2014,0.5,147022.9
133790,2014,0.51,148254.3
134319,2014,0.35,177172.2
148770,2014,0.55,123916
149346,2014,0.58,120139
134896,2014,0.35,177592
134943,2014,0.52,147147.1
135515,2014,0.5,148166.3
138346,2014,0.31,177597.4
136045,2014,0.31,179958.4
138922,2014,0.32,176395.5
136620,2014,0.3,179728.4
151077,2014,0.6,115256.4
149922,2014,0.59,116794.4
138347,2015,0.32,175757.4
134943,2015,0.55,144068.5
133790,2015,0.54,144489.8
136045,2015,0.3,174865.1
136621,2015,0.3,174347.6
137819,2015,0.54,144870.8
138346,2015,0.3,175924.9
138922,2015,0.31,174782.2
133787,2015,0.52,147552.3
151077,2015,0.57,119569.3
136620,2015,0.29,176047.5
137194,2015,0.28,177162.2
134361,2015,0.53,146432
138348,2015,0.34,174229.8
138924,2015,0.34,173250.5
149346,2015,0.54,125586.2
133786,2015,0.52,147019.7
134895,2015,0.34,172939.4
134896,2015,0.36,171163.4
149922,2015,0.55,122893
138349,2015,0.33,173663.1
135515,2015,0.53,146739.8
136090,2015,0.53,146500.3
144732,2015,0.55,131783.7
134319,2015,0.35,171583
137241,2015,0.53,145135.6
137243,2015,0.53,145871.4
148770,2015,0.53,128874.3
135515,2016,0.43,157239.5
149922,2016,0.53,126830.9
137194,2016,0.27,180316.8
138924,2016,0.35,174537.2
148770,2016,0.51,129221.2
134361,2016,0.42,158466.8
136045,2016,0.27,181809.5
136090,2016,0.43,157391.8
149346,2016,0.53,128018.6
133790,2016,0.43,155390
134319,2016,0.29,182912.6
134895,2016,0.28,182025
134896,2016,0.29,181529.5
138346,2016,0.3,178536.9
136621,2016,0.27,180114.9
138347,2016,0.32,177290.8
137243,2016,0.43,157452.7
137819,2016,0.43,157103
144732,2016,0.51,133906.5
133786,2016,0.42,158929.3
151077,2016,0.56,122107.5
136620,2016,0.27,180409
138922,2016,0.31,177062.4
