MERRA_ID,YEAR,MONTH,TEMP_AVG,TEMP_MEAN_AVG,FREEZE_INDEX,FREEZE_THAW
133786,2014,2,11.5,11.9,0,3
133786,2014,5,22.2,22.1,0,0
133786,2014,11,11.3,11.9,0,6
133787,2014,3,12.9,13,0,1
133787,2014,4,18.3,18.4,0,0
133787,2014,5,22.1,21.9,0,0
133787,2014,8,28.1,28.5,0,0
133787,2014,10,20.1,20.6,0,0
133787,2014,11,11.5,12.1,0,5
133787,2014,12,11.8,12.4,0,2
134319,2014,3,15.1,15.8,0,0
134319,2014,11,12.8,14,0,0
134361,2014,6,25.5,25.6,0,0
134896,2014,1,9.9,11.4,0,3
134896,2014,3,14,14.8,0,0
134943,2014,1,7,7.1,3,12
136621,2014,8,31.9,31.9,0,0
136621,2014,11,17.2,18.2,0,0
134895,2014,12,10.5,11.5,0,2
136090,2014,12,9.1,9.9,0,5
136620,2014,10,25,25.4,0,0
138347,2014,7,28.2,28.2,0,0
138347,2014,9,24.2,24.3,0,0
138922,2014,5,23.2,23,0,0
138924,2014,3,9,9.4,0,6
138924,2014,9,21.1,21.4,0,0
149922,2014,3,-6.5,-6.7,218,16
149922,2014,6,18.4,18.4,0,0
151077,2014,2,-13.4,-14.2,396,1
137194,2014,6,32.1,31.7,0,0
137194,2014,12,12.2,13.2,0,0
137241,2014,9,23.9,24.6,0,0
138348,2014,8,23,23,0,0
138349,2014,3,9.5,9.9,0,6
138349,2014,5,17,17,0,0
144732,2014,11,1.9,2.1,44,16
148770,2014,3,-6,-6.4,210,15
148770,2014,4,4.5,4.6,5,19
148770,2014,9,16.6,16.7,0,0
137819,2014,1,-0.2,0.3,47,26
137819,2014,9,22.6,23.5,0,0
133786,2014,6,25.6,25.7,0,0
133787,2014,1,5.8,6.2,8,14
133790,2014,1,7.6,7.7,3,13
133790,2014,5,23.4,23.7,0,0
133790,2014,6,26.8,27.3,0,0
134943,2014,5,24,24.2,0,0
134943,2014,12,12.1,12.7,0,0
136045,2014,5,26.5,26.2,0,0
136621,2014,3,18.7,18.9,0,0
136621,2014,4,22.3,22.4,0,0
136621,2014,12,12.5,13.2,0,0
134895,2014,9,25.9,26.5,0,0
136090,2014,4,16.2,16.6,0,0
136090,2014,6,25.1,25.5,0,0
136090,2014,9,24.4,25.2,0,0
136620,2014,3,18.7,18.9,0,0
136620,2014,7,34,34,0,0
138346,2014,1,11.1,12.5,0,0
138347,2014,1,9,10.4,0,2
138347,2014,6,26.6,26.2,0,0
138347,2014,10,19.1,19.8,0,0
138347,2014,12,6.7,7.7,1,10
138348,2014,1,6.5,8,0,8
138922,2014,4,18.3,18.5,0,0
138922,2014,12,7.9,8.9,0,6
138924,2014,4,11.9,12.2,0,4
144732,2014,1,-7.1,-7.1,227,12
144732,2014,2,-6,-6,184,9
149922,2014,11,0.5,0.4,43,13
151077,2014,3,-10.4,-11.3,351,8
151077,2014,5,12.4,12.2,0,2
151077,2014,6,17.5,17.3,0,0
151077,2014,8,17.9,18,0,0
151077,2014,10,8.6,9,0,5
137243,2014,9,23.6,24.4,0,0
137243,2014,10,17.2,17.8,0,0
137243,2014,12,7.7,8.5,0,9
138346,2014,3,16.3,16.6,0,0
138346,2014,5,24.5,24.4,0,0
138348,2014,9,21.9,22.1,0,0
138348,2014,12,4.7,5.7,3,16
144732,2014,6,21.1,21.1,0,0
144732,2014,12,0.3,0.6,31,22
148770,2014,6,18.6,18.5,0,0
148770,2014,11,1,1,41,15
149346,2014,6,18.3,18.2,0,0
149346,2014,12,-2,-2,77,16
133786,2014,4,18.2,18.4,0,0
133786,2014,7,26.6,26.7,0,0
133786,2014,9,25.4,25.9,0,0
133790,2014,3,14,14.3,0,0
134319,2014,2,13.7,14.6,0,1
134319,2014,6,28.5,28.6,0,0
134896,2014,8,25.2,25.6,0,0
134896,2014,10,19.7,20.5,0,0
134943,2014,2,11.4,11.9,0,3
134943,2014,4,19.5,19.7,0,0
135515,2014,3,11.2,11.3,0,2
135515,2014,9,24.9,25.5,0,0
136045,2014,2,16.3,16.9,0,0
136045,2014,4,22,22,0,0
134895,2014,11,13.9,15.2,0,0
136620,2014,2,16,16.5,0,0
136620,2014,8,31.5,31.6,0,0
138347,2014,5,20.8,20.6,0,0
138347,2014,11,11.3,12.5,0,3
138348,2014,3,10.5,10.9,0,1
138922,2014,1,9,10.2,0,2
138922,2014,2,12.3,13.2,0,1
138922,2014,11,12.9,14.1,0,1
138924,2014,2,6.8,7.7,0,11
149922,2014,12,-3.4,-3.4,117,15
151077,2014,1,-14.9,-15.8,491,4
151077,2014,4,3.1,3.3,13,23
137194,2014,9,30.9,31,0,0
137241,2014,12,7.6,8.3,0,8
137243,2014,4,15.4,15.7,0,1
138346,2014,8,28.9,28.8,0,0
138346,2014,12,9.4,10.3,0,5
138349,2014,7,25.3,25.3,0,0
138349,2014,9,21.3,21.8,0,0
148770,2014,7,19.8,19.7,0,0
148770,2014,8,19.9,20.1,0,0
149346,2014,3,-6.6,-6.9,223,16
133787,2014,6,25.5,25.5,0,0
133790,2014,2,12.8,13.4,0,4
133790,2014,7,28.2,28.7,0,0
133790,2014,9,25.4,26.1,0,0
133790,2014,10,20.4,20.9,0,0
133790,2014,12,12.9,13.6,0,2
134896,2014,2,12.4,13.4,0,2
134943,2014,6,27.4,27.8,0,0
135515,2014,1,3.3,3.9,15,21
136045,2014,6,32.2,32,0,0
134895,2014,2,14.4,15.3,0,0
134895,2014,4,19.3,19.6,0,0
134895,2014,5,23.7,23.7,0,0
136045,2014,8,31.9,31.9,0,0
136045,2014,11,16.7,17.7,0,0
136045,2014,12,12.2,13,0,2
136090,2014,2,7.6,7.9,3,10
136090,2014,5,21,21.2,0,0
136620,2014,9,29.9,30.1,0,0
138347,2014,2,10.8,11.5,0,2
138348,2014,6,24.3,24.1,0,0
138922,2014,6,29.1,28.6,0,0
138922,2014,10,21,21.8,0,0
138924,2014,12,3.5,4.6,7,19
149922,2014,4,4.2,4.4,8,21
149922,2014,7,18.6,18.5,0,0
151077,2014,11,-1,-1.1,72,17
137194,2014,5,27.2,27.1,0,0
137194,2014,11,17.3,18.3,0,0
137241,2014,10,17.3,18,0,0
137243,2014,5,20.5,20.6,0,0
137243,2014,8,26.1,26.5,0,0
138349,2014,4,12.2,12.5,0,3
138349,2014,10,15.7,16.6,0,0
144732,2014,3,0,0.2,66,20
148770,2014,12,-1.8,-1.8,74,17
137819,2014,6,23.6,23.9,0,0
133790,2014,11,13.1,13.7,0,3
134361,2014,7,26.5,26.6,0,0
134361,2014,8,27.6,28,0,0
134896,2014,4,17.1,17.4,0,0
134896,2014,6,28.3,28.5,0,0
134943,2014,7,28.2,28.5,0,0
135515,2014,2,8.6,8.7,5,9
135515,2014,11,9.9,10.5,0,7
135515,2014,12,10,10.7,0,4
136621,2014,1,13.5,14.6,0,0
136621,2014,2,16.3,16.8,0,0
136621,2014,6,32.6,32.4,0,0
136621,2014,7,34.6,34.7,0,0
134895,2014,1,12.4,13.8,0,0
134895,2014,3,16.1,16.7,0,0
134895,2014,7,28.6,28.8,0,0
136045,2014,10,24.6,25,0,0
136090,2014,3,10.5,10.7,0,2
136090,2014,8,26.7,27.1,0,0
136620,2014,12,12.3,13,0,2
138346,2014,2,14,14.6,0,1
138347,2014,8,25.2,25.3,0,0
138348,2014,2,8.2,9,0,8
138348,2014,5,18,17.9,0,0
138922,2014,9,26.9,26.9,0,0
138924,2014,1,5,6.4,0,20
138924,2014,6,23.4,23.3,0,0
138924,2014,8,22.3,22.5,0,0
149922,2014,5,12.1,12.2,0,2
137194,2014,3,19.5,19.7,0,0
137194,2014,4,22.6,22.7,0,0
137241,2014,11,7.2,7.9,3,14
137243,2014,3,9.2,9.3,0,6
138348,2014,7,25.8,25.8,0,0
138348,2014,10,16.6,17.4,0,0
138348,2014,11,8.8,10.1,0,7
138349,2014,6,23.7,23.8,0,0
144732,2014,4,10.1,10,1,6
144732,2014,9,18.1,18.3,0,0
148770,2014,2,-10.4,-10.9,304,2
149346,2014,5,11.9,11.8,0,0
149346,2014,7,19.5,19.3,0,0
137819,2014,2,5.2,5.5,4,14
133787,2014,9,25.2,25.6,0,0
133790,2014,8,28,28.7,0,0
134319,2014,1,11.9,13.3,0,0
134319,2014,4,18,18.3,0,0
134319,2014,5,22.4,22.5,0,0
134319,2014,10,20.1,20.9,0,0
134319,2014,12,9.7,10.7,0,3
134361,2014,2,10.4,10.7,0,7
134896,2014,11,11.6,12.9,0,2
134896,2014,12,8.6,9.7,0,6
134943,2014,9,25.4,25.9,0,0
135515,2014,7,26.6,26.7,0,0
136045,2014,3,18.5,18.7,0,0
136045,2014,7,34,34,0,0
136621,2014,5,26.9,26.7,0,0
134895,2014,8,27.2,27.5,0,0
136090,2014,1,2,2.7,21,20
136090,2014,7,26.1,26.5,0,0
136620,2014,5,26.3,26,0,0
137241,2014,4,15.4,15.6,0,1
137241,2014,6,24.5,24.8,0,0
138347,2014,4,16,16.2,0,0
138922,2014,7,31,30.9,0,0
138924,2014,7,24.8,24.9,0,0
138924,2014,10,15.5,16.3,0,0
138924,2014,11,7.4,8.7,0,9
149922,2014,2,-10.5,-10.5,294,2
149922,2014,9,15.5,15.8,0,0
151077,2014,7,18.1,17.9,0,0
137194,2014,10,25.7,26.2,0,0
137243,2014,2,6.3,6.6,4,12
137243,2014,7,25.7,26,0,0
138346,2014,4,19.7,19.9,0,0
138346,2014,9,28,28,0,0
138349,2014,1,5.2,6.7,0,22
144732,2014,5,16,15.8,0,0
144732,2014,10,11.5,11.8,0,0
148770,2014,5,12.3,12.2,0,0
149346,2014,2,-10.7,-11,308,2
149346,2014,10,10.2,10.3,0,0
149346,2014,11,1.3,1.3,33,14
137819,2014,10,15.8,16.5,0,0
133786,2014,3,12.9,13,0,1
134319,2014,7,26.8,27,0,0
134319,2014,8,25.3,25.6,0,0
134319,2014,9,24.1,24.7,0,0
134361,2014,1,4.5,4.9,11,18
134361,2014,4,17.8,17.9,0,0
134361,2014,10,19.7,20.1,0,0
134361,2014,12,11.3,11.9,0,3
134896,2014,5,21.6,21.7,0,0
134896,2014,7,26.8,26.8,0,0
134896,2014,9,23.9,24.5,0,0
135515,2014,5,21.5,21.5,0,0
135515,2014,10,19.3,19.8,0,0
136621,2014,9,30.1,30.3,0,0
136090,2014,10,18.1,18.8,0,0
136620,2014,6,31.7,31.4,0,0
137241,2014,2,5.9,6.3,3,13
137241,2014,5,20.3,20.5,0,0
138922,2014,3,14.8,15.1,0,0
138924,2014,5,16.9,16.7,0,0
149922,2014,10,9.4,9.6,0,4
151077,2014,12,-7,-6.9,218,7
137194,2014,2,16.9,17.6,0,0
137194,2014,7,34.8,34.7,0,0
137243,2014,1,0.9,1.6,30,23
137243,2014,6,24.7,24.9,0,0
137243,2014,11,7.5,8.2,2,13
138346,2014,6,30.1,29.5,0,0
138346,2014,7,32.1,32,0,0
138346,2014,10,22.5,23.2,0,0
138346,2014,11,14.4,15.5,0,0
138349,2014,2,7.2,8.1,0,11
148770,2014,10,10.2,10.5,0,1
149346,2014,1,-10.5,-11,342,4
149346,2014,8,19.8,19.9,0,0
137819,2014,4,14.4,14.7,0,1
137819,2014,12,6.7,7.6,0,12
133786,2014,1,5.6,5.9,9,14
133786,2014,8,28,28.4,0,0
133786,2014,10,20,20.5,0,0
133786,2014,12,11.8,12.3,0,2
133787,2014,2,11.6,11.9,0,4
133787,2014,7,27,27.1,0,0
133790,2014,4,19.7,19.9,0,0
134361,2014,3,12.5,12.6,0,1
134361,2014,5,21.9,21.8,0,0
134361,2014,9,25.4,26,0,0
134361,2014,11,10.5,11,0,6
134943,2014,3,13.2,13.4,0,0
134943,2014,8,27.9,28.3,0,0
134943,2014,10,21,21.4,0,0
134943,2014,11,13,13.4,0,2
135515,2014,4,17,17.1,0,0
135515,2014,6,25.5,25.5,0,0
