MERRA_ID,YEAR,TEMP_AVG,TEMP_MEAN_AVG,FREEZE_INDEX,FREEZE_THAW
134896,2014,18.3,18.9,0,13
136620,2014,23.2,23.5,0,2
137819,2014,14.3,14.8,54,78
138348,2014,15.1,15.6,3,42
144732,2014,9.1,9.1,554,85
134895,2014,20.3,21,0,2
134943,2014,19.2,19.5,3,17
148770,2014,6.2,6.1,970,73
136045,2014,23.2,23.5,0,2
137194,2014,23.8,24.1,0,0
137241,2014,15.3,15.7,54,67
138346,2014,20.9,21.3,0,6
133787,2014,18.3,18.6,8,26
133790,2014,19.4,19.8,3,22
138349,2014,14.3,14.9,4,69
138922,2014,19.5,19.9,0,10
138924,2014,14,14.5,7,69
151077,2014,3.8,3.6,1540,69
134319,2014,19,19.7,0,4
136090,2014,16.3,16.8,26,45
137243,2014,15.4,15.8,36,64
134361,2014,17.8,18.1,11,35
138347,2014,17.6,18,1,17
149346,2014,6,5.9,988,71
133786,2014,18.3,18.6,9,26
135515,2014,17.1,17.4,20,43
136621,2014,23.5,23.8,0,0
149922,2014,5.6,5.6,1035,77
134361,2015,19.6,19.9,5,24
134896,2015,17.7,18.4,1,29
136045,2015,22.9,23.3,0,8
137241,2015,16.6,17,28,57
138349,2015,13.8,14.4,25,74
138924,2015,13.7,14.2,26,74
148770,2015,7.4,7.5,872,72
134895,2015,19.8,20.5,0,15
134943,2015,20.2,20.6,3,9
136621,2015,23.2,23.6,0,7
138347,2015,17.3,17.8,1,31
135515,2015,18.6,18.9,7,34
138348,2015,14.7,15.2,13,61
138922,2015,19.3,19.7,0,22
149346,2015,7.2,7.2,885,63
134319,2015,18.6,19.3,0,17
136090,2015,17.6,18.1,10,43
136620,2015,22.8,23.2,0,6
137194,2015,23.5,23.8,0,3
137243,2015,16.6,17,21,53
149922,2015,6.8,6.8,916,80
151077,2015,4.8,4.7,1365,91
133790,2015,20.8,21.4,1,8
137819,2015,15.5,15.9,37,59
138346,2015,20.7,21.1,0,17
144732,2015,10.5,10.6,457,74
133786,2015,20,20.4,4,18
133787,2015,20,20.3,4,18
134896,2016,18.3,18.9,0,25
136045,2016,23.4,23.8,0,4
137241,2016,17.3,17.8,12,50
138348,2016,15,15.5,12,53
138349,2016,14,14.6,35,71
134895,2016,20.6,21.2,0,6
138346,2016,20.9,21.2,0,11
138347,2016,17.6,18.1,0,31
151077,2016,5.3,5.2,1196,88
133786,2016,19.8,20.1,0,18
133787,2016,19.7,20,0,18
137194,2016,23.8,24.1,0,3
144732,2016,11.5,11.7,305,89
135515,2016,19,19.4,1,26
149346,2016,8.6,8.6,525,85
136620,2016,23.3,23.7,0,2
137243,2016,17.4,17.8,8,43
134943,2016,20.1,20.5,0,9
149922,2016,8,8,622,98
133790,2016,20.7,21.3,0,8
134319,2016,19.4,20,0,12
134361,2016,19.6,19.9,0,22
137819,2016,16.2,16.7,27,59
138922,2016,19.4,19.8,0,22
136090,2016,18.2,18.7,3,33
136621,2016,23.7,24.1,0,2
138924,2016,13.8,14.4,25,71
148770,2016,8.9,8.9,507,91
133787,2017,20,20.4,0,11
136045,2017,23.7,24.1,0,2
