TABLE_NAME,FIELD_NAME,FIELD_ALIAS,FIELD_DESCRIPTION,FIELD_UNIT,FIELD_CODETYPE,UNIT_SYSTEM
ANALYSIS_DIS_AC,STATE_CODE,State Code,Numerical code for state or province. U.S. codes are consistent with Federal Information Processing Standards.,,STATE_PROVINCE,
ANALYSIS_DIS_AC,STATE_CODE_EXP,State Code (Code Expansion),Numerical code for state or province. U.S. codes are consistent with Federal Information Processing Standards. (Code Expansion),,,
ANALYSIS_DIS_AC,SHRP_ID,LTPP Section Identifier,Test section identification number assigned by LTPP program. Must be combined with STATE_CODE to be unique.,,,
ANALYSIS_DIS_AC,CONSTRUCTION_NO,Construction Number,Event number used to relate changes in pavement structure with other time dependent data elements. This field is set to 1 when a test section is initially accepted into LTPP and is incremented with each change to the layer structure.,,,
ANALYSIS_DIS_AC,SURVEY_DATE,Survey Date,Date survey was performed.,,,
ANALYSIS_DIS_AC,HPMS16_CRACKING_PERCENT_AC,2016 HPMS AC Cracking Percentage,Percent of section cracked using 2016 HPMS Field Guide definitions. Includes only longitudinal and fatigue cracking in assumed 1m wide wheel paths.,%,,Metric
ANALYSIS_DIS_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG AC Cracking Percentage,"The total area of alligator cracking summed across all levels of severity, divided by the total area of the test section, in accordance with MEPDG definitions. Note that LTPP alligator cracking interpretations are not restricted to the wheel path.",%,,Metric
ANALYSIS_DIS_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG AC Transverse Cracking Length,"Total length of sealed and unsealed transverse cracks at all levels of severity, divided by test section length in accordance with current pavement MEPDG distress definitions.",m/km,,Metric
ANALYSIS_DIS_AC,MEPDG_LONG_CRACK_LENGTH_AC,MEPDG AC Longitudinal Cracking Length,Total length of sealed and unsealed longitudinal cracks in the wheel path at all severity levels divided by test section length.,m/km,,Metric
ANALYSIS_DIS_AC,ME_PERCENT_WHEEL_PATH_CRACK,MEPDG Wheel Path Cracking Percentage,Percentage of cracking in assumed 0.61 meter wide wheel paths corresponding to the MEPDG_CRACKING_PERCENT_AC field reported in the 2016 and 2017 LTPP data releases,%,,Metric
ANALYSIS_DIS_AC,SURVEY_WIDTH,Survey Width,Width of pavement surveyed for distress measurements.,m,,Metric
ANALYSIS_DIS_AC,GATOR_CRACK_A,Alligator Cracking Area Total,Total alligator (fatigue) cracking area.,sq m,,Metric
ANALYSIS_DIS_AC,GATOR_CRACK_A_L,Low Severity Alligator Cracking Area,"Area of alligator (fatigue) cracking of low severity. (No or few connecting cracks, not spalled or sealed, no pumping evident.)",sq m,,Metric
ANALYSIS_DIS_AC,GATOR_CRACK_A_M,Medium Severity Alligator Cracking Area,"Area of alligator (fatigue) cracking of moderate severity. (Interconnected cracks possibly slightly spalled, may be sealed, pumping may be evident.)",sq m,,Metric
ANALYSIS_DIS_AC,GATOR_CRACK_A_H,High Severity Alligator Cracking Area,"Area of alligator (fatigue) cracking of high severity. (Moderately or severely spalled interconnected cracks, may be sealed, pumping may be evident.)",sq m,,Metric
ANALYSIS_DIS_AC,BLK_CRACK_A,Block Cracking Area Total,Total area of block cracking.,sq m,,Metric
ANALYSIS_DIS_AC,BLK_CRACK_A_L,Low Severity Block Cracking Area,Area of low severity block cracking. (Cracks of unknown width well sealed or with mean width of 6 mm or less.),sq m,,Metric
ANALYSIS_DIS_AC,BLK_CRACK_A_M,Medium Severity Block Cracking Area,Area of moderate severity block cracking. (Mean crack width from 6 to 19 mm or under 19 mm with adjacent low severity random cracking.),sq m,,Metric
ANALYSIS_DIS_AC,BLK_CRACK_A_H,High Severity Block Cracking Area,Area of high severity block cracking. (Mean crack width greater than 19 mm or under 19 mm with moderate to high severity random cracking.),sq m,,Metric
ANALYSIS_DIS_AC,EDGE_CRACK_L,Edge Crack Length,Total length of edge cracking.,m,,Metric
ANALYSIS_DIS_AC,EDGE_CRACK_L_L,Low Severity Edge Crack Length,Length of low severity edge cracking.,m,,Metric
ANALYSIS_DIS_AC,EDGE_CRACK_L_M,Medium Severity Edge Crack Length,Length of moderate severity edge cracking.,m,,Metric
ANALYSIS_DIS_AC,EDGE_CRACK_L_H,High Severity Edge Crack Length,Length of high severity edge cracking.,m,,Metric
ANALYSIS_DIS_AC,LONG_CRACK_WP_L,Wheel Path Longitudinal Crack Length Total,Total longitudinal cracking length in wheel path.,m,,Metric
ANALYSIS_DIS_AC,LONG_CRACK_WP_L_L,Low Severity Wheel Path Longitudinal Crack Length,"Length of low severity, longitudinal cracking in wheel path. (Cracks of unknown width well sealed or with mean width of 6 mm or less.)",m,,Metric
ANALYSIS_DIS_AC,LONG_CRACK_WP_L_M,Medium Severity Wheel Path Longitudinal Crack Length,"Length of moderate severity, longitudinal cracking in wheel path. (Mean crack width from 6 to 19 mm or under 19 mm with adjacent low severity random cracking.)",m,,Metric
ANALYSIS_DIS_AC,LONG_CRACK_WP_L_H,High Severity Wheel Path Longitudinal Crack Length,"Length of high severity, longitudinal cracking in wheel path. (Mean crack width greater than 19 mm or under 19 mm with adjacent moderate to high severity random cracking.)",m,,Metric
ANALYSIS_DIS_AC,LONG_CRACK_NWP_L,Non-Wheel Path Longitudinal Crack Length Total,Total length of non-wheel path longitudinal cracking.,m,,Metric
ANALYSIS_DIS_AC,LONG_CRACK_NWP_L_L,Low Severity Non-Wheel Path Longitudinal Crack Length,"Length of low severity, non-wheel path longitudinal cracking. (Cracks of unknown width well sealed or with mean width of 6 mm or less.)",m,,Metric
ANALYSIS_DIS_AC,LONG_CRACK_NWP_L_M,Medium Severity Non-Wheel Path Longitudinal Crack Length,"Length of moderate severity, non-wheel path longitudinal cracking. (Mean crack width from 6 to 19 mm or under 19 mm with adjacent low severity random cracking.)",m,,Metric
ANALYSIS_DIS_AC,LONG_CRACK_NWP_L_H,High Severity Non-Wheel Path Longitudinal Crack Length,"Length of high severity, non-wheel path longitudinal cracking. (Mean crack width greater than 19 mm or under 19 mm with adjacent moderate to high severity random cracking.)",m,,Metric
ANALYSIS_DIS_AC,LONG_CRACK_WP_SEAL_L,Well-Sealed Wheel Path Longitudinal Crack Length Total,Total well sealed longitudinal cracking length in wheel path.,m,,Metric
ANALYSIS_DIS_AC,LONG_CRACK_WP_SEAL_L_L,Low Severity Well-Sealed Wheel Path Longitudinal Crack Length,"Length of low severity, well sealed longitudinal cracking in wheel path. (Cracks of unknown width or with mean width of 6 mm or less.)",m,,Metric
ANALYSIS_DIS_AC,LONG_CRACK_WP_SEAL_L_M,Medium Severity Well-Sealed Wheel Path Longitudinal Crack Length,"Length of moderate severity, well sealed longitudinal cracking in wheel path. (Mean crack width from 6 to 19 mm or under 19 mm with adjacent low severity random cracking.)",m,,Metric
ANALYSIS_DIS_AC,LONG_CRACK_WP_SEAL_L_H,High Severity Well-Sealed Wheel Path Longitudinal Crack Length,"Length of high severity, well sealed longitudinal cracking in wheel path. (Crack mean width greater than 19 mm or under 19 mm with adjacent moderate to high severity random cracking.)",m,,Metric
ANALYSIS_DIS_AC,LONG_CRACK_NWP_SEAL_L,Non-Well-Sealed Wheel Path Longitudinal Crack Length Total,Total length of well sealed non-wheel path longitudinal cracking.,m,,Metric
ANALYSIS_DIS_AC,LONG_CRACK_NWP_SEAL_L_L,Low Severity Non-Wheel Path Well-Sealed Longitudinal Crack Length,"Length of low severity, well sealed non-wheel path longitudinal cracking. (Cracks of unknown width or with mean width of 6 mm or less.)",m,,Metric
ANALYSIS_DIS_AC,LONG_CRACK_NWP_SEAL_L_M,Medium Severity Non-Wheel Path Well-Sealed Longitudinal Crack Length,"Length of moderate severity, well sealed non-wheel path longitudinal cracking. (Mean crack width from 6 to 19 mm or under 19 mm with adjacent low severity random cracking.)",m,,Metric
ANALYSIS_DIS_AC,LONG_CRACK_NWP_SEAL_L_H,High Severity Non-Wheel Path Well-Sealed Longitudinal Crack Length,"Length of high severity, well sealed non-wheel path longitudinal cracking. (Mean crack width greater than 19 mm or under 19 mm with adjacent moderate to high severity random cracking.)",m,,Metric
ANALYSIS_DIS_AC,TRANS_CRACK_NO,Transverse Crack Number Total,Total number of transverse cracks.,,,
ANALYSIS_DIS_AC,TRANS_CRACK_NO_L,Low Severity Transverse Cracks Number,Number of low severity transverse cracks. (Cracks of unknown width well sealed or with mean width of 6 mm or less.),,,
ANALYSIS_DIS_AC,TRANS_CRACK_NO_M,Medium Severity Transverse Cracks Number,Number of moderate severity transverse cracks. (Mean crack width from 6 to 19 mm or under 19 mm with adjacent low severity random cracking.),,,
ANALYSIS_DIS_AC,TRANS_CRACK_NO_H,High Severity Transverse Cracks Number,Number of high severity transverse cracks. (Mean crack width greater than 19 mm or under 19 mm with adjacent moderate to high severity random cracking.),,,
ANALYSIS_DIS_AC,TRANS_CRACK_L,Transverse Crack Length Total,Total transverse cracking length.,m,,Metric
