STATE_CODE,STATE_CODE_EXP,SHRP_ID,VEHICLE_CLASS,VEHICLE_CLASS_EXP,SINGLE_AXLES,TANDEM_AXLES,TRIDEM_AXLES,QUAD_AXLES
4,Arizona,1001,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1,1,1.01,0
4,Arizona,1001,6,FHWA Class 6 (Three axle Single-unit truck),1,1,0,0
4,Arizona,1001,4,FHWA Class 4 (Buses),1.06,0.94,0,0
4,Arizona,1001,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1.5,2.96,0.32,0.2
4,Arizona,1001,9,"FHWA Class 9 (Five axle, one trailer truck)",1.13,1.94,0,0
4,Arizona,1001,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.66,0.58,0,0
4,Arizona,1001,12,"FHWA Class 12 (Six axle, multi trailer truck)",3.94,0.98,0,0.04
4,Arizona,1001,7,FHWA Class 7 (Four or more axle Single-unit truck),1,0,1,0
4,Arizona,1001,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0,0,0
4,Arizona,1001,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",5,0,0,0
4,Arizona,1002,7,FHWA Class 7 (Four or more axle Single-unit truck),1.04,0.23,0.95,0
4,Arizona,1002,4,FHWA Class 4 (Buses),1.23,0.77,0,0
4,Arizona,1002,6,FHWA Class 6 (Three axle Single-unit truck),1,1,0,0
4,Arizona,1002,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0,0,0
4,Arizona,1002,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1.65,2.42,0.54,0.16
4,Arizona,1002,9,"FHWA Class 9 (Five axle, one trailer truck)",1.15,1.88,0,0
4,Arizona,1002,12,"FHWA Class 12 (Six axle, multi trailer truck)",3.99,1,0,0
4,Arizona,1002,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.76,0.51,0,0
4,Arizona,1002,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",5,0,0,0
4,Arizona,1002,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1.01,1.04,0.95,0
4,Arizona,1003,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",4.99,0.02,0,0
4,Arizona,1003,4,FHWA Class 4 (Buses),1.18,0.83,0,0
4,Arizona,1003,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.63,0.5,0,0
4,Arizona,1003,6,FHWA Class 6 (Three axle Single-unit truck),1,1,0,0
4,Arizona,1003,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1.35,2.88,0.45,0.21
4,Arizona,1003,12,"FHWA Class 12 (Six axle, multi trailer truck)",3.93,0.98,0.01,0.08
4,Arizona,1003,9,"FHWA Class 9 (Five axle, one trailer truck)",1.12,1.91,0,0
4,Arizona,1003,7,FHWA Class 7 (Four or more axle Single-unit truck),1.05,0.17,0.91,0.04
4,Arizona,1003,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2.01,0,0,0
4,Arizona,1003,10,"FHWA Class 10 (Six or more axle, one trailer truck)",1.03,1.02,0.99,0.05
4,Arizona,1006,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",2,0,0,0
4,Arizona,1006,4,FHWA Class 4 (Buses),1.09,0.91,0,0
4,Arizona,1006,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",1.46,3.09,0.36,0.28
4,Arizona,1006,8,"FHWA Class 8 (Four or less axle, one trailer truck)",2.4,0.72,0,0
4,Arizona,1006,7,FHWA Class 7 (Four or more axle Single-unit truck),1,0,1,0
4,Arizona,1006,6,FHWA Class 6 (Three axle Single-unit truck),1,1,0,0
4,Arizona,1006,9,"FHWA Class 9 (Five axle, one trailer truck)",1.14,1.94,0,0
