STATE_CODE,STATE_CODE_EXP,SHRP_ID,TRAFFIC_OPEN_YEAR_EXP_NO,VEHICLE_CLASS,VEHICLE_CLASS_EXP,VEH_CLASS_DIST_PERCENT,VEH_CLASS_GROWTH_RATE,VEH_CLASS_GROWTH_FUNCTION,VEH_CLASS_GROWTH_USE_RATING,VEH_CLASS_GROWTH_USE_RATING_EXP,AADTT_FIRST_YEAR_LTPP_LANE
4,Arizona,1001,1978,10,"FHWA Class 10 (Six or more axle, one trailer truck)",0.800000011920929,5.929999828338623,compound,6,Bad - No monitoring data are present.,1043
4,Arizona,1001,1978,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",6.630000114440918,13.279999732971191,linear,6,Bad - No monitoring data are present.,1043
4,Arizona,1001,1978,9,"FHWA Class 9 (Five axle, one trailer truck)",72.76000213623047,9.449999809265137,linear,6,Bad - No monitoring data are present.,1043
4,Arizona,1001,1978,7,FHWA Class 7 (Four or more axle Single-unit truck),0.20000000298023224,7.190000057220459,compound,6,Bad - No monitoring data are present.,1043
4,Arizona,1001,1978,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",0.20999999344348907,4.340000152587891,compound,6,Bad - No monitoring data are present.,1043
4,Arizona,1001,1978,6,FHWA Class 6 (Three axle Single-unit truck),3.319999933242798,4.170000076293945,compound,6,Bad - No monitoring data are present.,1043
4,Arizona,1001,1978,4,FHWA Class 4 (Buses),0.7900000214576721,7.429999828338623,compound,6,Bad - No monitoring data are present.,1043
4,Arizona,1001,1978,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",8,6.329999923706055,compound,6,Bad - No monitoring data are present.,1043
4,Arizona,1001,1978,12,"FHWA Class 12 (Six axle, multi trailer truck)",1.9800000190734863,13.350000381469727,linear,6,Bad - No monitoring data are present.,1043
4,Arizona,1001,1978,8,"FHWA Class 8 (Four or less axle, one trailer truck)",5.300000190734863,6.099999904632568,compound,6,Bad - No monitoring data are present.,1043
4,Arizona,1002,1980,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",0.15000000596046448,8.729999542236328,linear,6,Bad - No monitoring data are present.,679
4,Arizona,1002,1996,13,"FHWA Class 13 (Seven or more axle, multi trailer truck)",0.14000000059604645,-13.640000343322754,linear,6,Bad - No monitoring data are present.,1582
4,Arizona,1002,1980,10,"FHWA Class 10 (Six or more axle, one trailer truck)",0.3100000023841858,6.079999923706055,linear,6,Bad - No monitoring data are present.,679
4,Arizona,1002,1996,10,"FHWA Class 10 (Six or more axle, one trailer truck)",0.3799999952316284,17.6299991607666,compound,6,Bad - No monitoring data are present.,1582
4,Arizona,1002,1980,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",4.650000095367432,5.78000020980835,compound,6,Bad - No monitoring data are present.,679
4,Arizona,1002,1996,11,"FHWA Class 11 (Five or less axle, multi trailer truck)",4.699999809265137,14.539999961853027,linear,6,Bad - No monitoring data are present.,1582
4,Arizona,1002,1980,9,"FHWA Class 9 (Five axle, one trailer truck)",79.80999755859375,4.269999980926514,compound,6,Bad - No monitoring data are present.,679
4,Arizona,1002,1996,9,"FHWA Class 9 (Five axle, one trailer truck)",79.33000183105469,20.049999237060547,linear,6,Bad - No monitoring data are present.,1582
4,Arizona,1002,1980,7,FHWA Class 7 (Four or more axle Single-unit truck),0.27000001072883606,7.309999942779541,compound,6,Bad - No monitoring data are present.,679
4,Arizona,1002,1996,7,FHWA Class 7 (Four or more axle Single-unit truck),0.18000000715255737,-42.86000061035156,linear,6,Bad - No monitoring data are present.,1582
4,Arizona,1002,1980,8,"FHWA Class 8 (Four or less axle, one trailer truck)",1.5800000429153442,6.659999847412109,compound,6,Bad - No monitoring data are present.,679
4,Arizona,1002,1996,8,"FHWA Class 8 (Four or less axle, one trailer truck)",1.559999942779541,-1.4299999475479126,compound,6,Bad - No monitoring data are present.,1582
4,Arizona,1002,1996,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",10.420000076293945,24.5,linear,6,Bad - No monitoring data are present.,1582
4,Arizona,1002,1980,6,FHWA Class 6 (Three axle Single-unit truck),1.0700000524520874,5.710000038146973,compound,6,Bad - No monitoring data are present.,679
4,Arizona,1002,1996,6,FHWA Class 6 (Three axle Single-unit truck),0.9900000095367432,20.3799991607666,linear,6,Bad - No monitoring data are present.,1582
4,Arizona,1002,1980,4,FHWA Class 4 (Buses),1.0099999904632568,3.309999942779541,compound,6,Bad - No monitoring data are present.,679
4,Arizona,1002,1996,4,FHWA Class 4 (Buses),0.9100000262260437,20.139999389648438,linear,6,Bad - No monitoring data are present.,1582
4,Arizona,1002,1980,5,"FHWA Class 5 (Two axle, 6-Tire, Single-unit truck)",9.789999961853027,3.950000047683716,linear,6,Bad - No monitoring data are present.,679
