DATA_CATEGORY,CHANGE_EVENT,DATE,DIRECTIVE,CHANGE_TYPE,DESCRIPTION
Distress,SHRP Distress Identification Manual (DIM) for the Long-Term Pavement Performance Studies,1987,N/A,Guidelines,New DIM version
Distress,"LTPP Distress Identification Manual for the Long-Term Pavement Performance Project, SHRP-P-338",1993,N/A,Guidelines,New DIM version
Distress,"Changes to ""LTPP Distress Identification Manual for the Long-Term Pavement Performance Project,"" SHRP-P-338",3-Nov-98,D-13,Revised guidelines,"Addresses minor corrections to May 1993 DIM and changes to descriptions, measurement techniques and data forms, including elimination of longitudinal WP cracking and revision of fatigue cracking description to include all cracking in WPs."
Distress,"Changes to ""LTPP Distress Identification Manual for the Long-Term Pavement Performance Project,"" SHRP-P-338",17-Mar-99,D-14,Revised guidelines,"Addresses corrections to the May 1993 DIM as well as some changes to descriptions, measurement techniques and data forms."
Distress,LTPP Manual Distress Data Collection Procedures on Portland Cement Concrete Pavements,29-Mar-01,D-21,Revised guidelines,"Addresses inconsistencies in the way patching material on corner breaks, punchouts and spalls are treated in the DIM."
Distress,LTPP Manual Distress Data Collection Procedures on Asphalt Concrete Pavements,24-Sep-01,D-22,Revised guidelines,Addresses 'reflection cracking at joints' data inconsistencies and misunderstandings in how cracking has been rated in the past.
Distress,LTPP Manual Distress Data Collection Procedures on Asphalt Concrete Pavements,11-Feb-02,D-24,Revised guidelines,"Reviews of 'Reflection Cracking at Joints' data revealed numerous inconsistencies in way cracking has been rated in the past. To address issue, DIM was revised to NOT include reflection cracking. Test sections that had reflection cracking at joints recorded on past surveys were to be changed to 'Longitudinal Cracking' or 'Transverse Cracking'. This issue should have been resolved long ago."
Distress,Distress Identification Manual for the Long-Term Pavement Performance Program,29-Apr-02,D-26,Guidelines,New DIM version
Distress,Distress Measurements on LTPP Asphalt Concrete Test Sections - Surface Defects on Preventive Maintenance Treatments,14-Nov-02,D-29,Revised guidelines,"Surface defects (Bleeding, Polished Aggregate and Raveling) shall not be rated on AC pavements that have received a preventive maintenance treatment covering the original pavement surface such as chip seals, slurry seals, and fog seals. ACP with surface preventive maintenance treatments that exhibit apparent surface defects should be commented on with description of defect and approximate extent. All ACP with surface preventive maintenance treatments that have 'Surface Defects' data recorded on past surveys shall be changed to  'Other' with a description of the defect and approximate extent in square meters. This issue should have been resolved long ago."
Distress,Distress Identification Manual for the Long-Term Pavement Performance Program,20-Oct-03,D-36,Guidelines,New DIM version
Distress,"Clarification of LTPP Manual Distress Data Collection Procedures for Edge, Fatigue and Block Cracking",2-Nov-05,D-45,Revised guidelines,Addresses differences in way edge cracking and adjacent fatigue cracking on pavements with unpaved shoulders have been rated in the past.
Distress,Distress Identification Manual for LTPP – May 2014,9-Mar-15,D-57,Guidelines,New DIM version
Distress,"Clarification of LTPP Distress Data Collection Procedures for Asphalt Concrete (ACP) Edge Cracking, Continuously Reinforced Concrete Pavements (CRCP) Transverse Cracks and Punchouts",9-Nov-15,D-63,Revised guidelines,Modified moderate severity criteria description of Edge Cracking; added information on 'How to Measure' total length of CRCP transverse crack; and modified last sentence of description of Punchouts.
