STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,YEAR,AADTT_VEH_CLASS_4_TREND,AADTT_VEH_CLASS_5_TREND,AADTT_VEH_CLASS_6_TREND,AADTT_VEH_CLASS_7_TREND,AADTT_VEH_CLASS_8_TREND,AADTT_VEH_CLASS_9_TREND,AADTT_VEH_CLASS_10_TREND,AADTT_VEH_CLASS_11_TREND,AADTT_VEH_CLASS_12_TREND,AADTT_VEH_CLASS_13_TREND,CMLTV_VOL_VEH_CLASS_9_TREND
4,Arizona,1001,1,1978,8,75,28,2,49,679,7,70,21,2,247835
4,Arizona,1001,2,1996,26,364,66,3,222,1906,28,220,62,13,4850909
4,Arizona,1001,1,1980,8,81,30,2,53,737,8,76,23,2,786582
4,Arizona,1001,1,1981,9,91,33,2,59,825,9,85,25,2,1087707
4,Arizona,1001,1,1982,13,124,46,3,81,1128,12,116,35,3,1499427
4,Arizona,1001,1,1983,13,124,46,3,81,1128,12,116,35,3,1911147
4,Arizona,1001,1,1984,13,124,46,3,81,1128,12,116,35,3,2323995
4,Arizona,1001,1,1985,14,133,49,4,87,1215,13,125,37,3,2767470
4,Arizona,1001,1,1986,16,152,56,4,99,1390,14,143,42,3,3274820
4,Arizona,1001,1,1987,20,191,71,5,124,1736,18,178,53,4,3908460
4,Arizona,1001,1,1988,20,191,71,5,124,1736,18,178,53,4,4543836
4,Arizona,1001,1,1989,20,191,71,5,124,1736,18,178,53,4,5177476
4,Arizona,1001,1,1990,19,184,68,5,120,1675,17,172,51,4,5788851
4,Arizona,1001,1,1991,22,210,78,6,137,1917,20,197,59,4,6488556
4,Arizona,1001,1,1992,23,222,82,6,145,2026,21,208,62,4,7230072
4,Arizona,1001,1,1993,30,104,35,6,92,1470,37,194,58,3,7766622
4,Arizona,1001,1,1994,29,190,49,17,93,1708,10,217,68,2,8390042
4,Arizona,1001,1,1995,23,219,57,5,134,1797,14,220,69,2,9045947
4,Arizona,1001,1,1996,26,364,66,3,222,1906,28,220,62,13,9743543
4,Arizona,1001,2,1989,20,191,71,5,124,1736,18,178,53,4,633640
4,Arizona,1001,2,1990,19,184,68,5,120,1675,17,172,51,4,1245015
4,Arizona,1001,2,1991,22,210,78,6,137,1917,20,197,59,4,1944720
4,Arizona,1001,2,1992,23,222,82,6,145,2026,21,208,62,4,2686236
