STATE_CODE,STATE_CODE_EXP,SHRP_ID,CONSTRUCTION_NO,YEAR,AADTT_ALL_TRUCKS_TREND,ANNUAL_TRUCK_VOLUME_TREND
4,Arizona,1001,1,1978,940,343100
4,Arizona,1001,2,1996,2910,532530
4,Arizona,1001,1,1980,1020,373320
4,Arizona,1001,1,1981,1140,416100
4,Arizona,1001,1,1982,1560,569400
4,Arizona,1001,1,1983,1560,569400
4,Arizona,1001,1,1984,1560,570960
4,Arizona,1001,1,1985,1680,613200
4,Arizona,1001,1,1986,1920,700800
4,Arizona,1001,1,1987,2400,876000
4,Arizona,1001,1,1988,2400,878400
4,Arizona,1001,1,1989,2400,876000
4,Arizona,1001,1,1990,2315,844975
4,Arizona,1001,1,1991,2650,967250
4,Arizona,1001,1,1992,2800,1024800
4,Arizona,1001,1,1993,2029,740585
4,Arizona,1001,1,1994,2383,869795
4,Arizona,1001,1,1995,2540,927100
4,Arizona,1001,1,1996,2910,532530
4,Arizona,1001,2,1989,2400,876000
4,Arizona,1001,2,1990,2315,844975
4,Arizona,1001,2,1991,2650,967250
4,Arizona,1001,2,1992,2800,1024800
4,Arizona,1001,2,1993,2029,740585
4,Arizona,1001,2,1994,2383,869795
4,Arizona,1001,2,1995,2540,927100
4,Arizona,1001,1,1979,1020,372300
4,Arizona,1002,1,1980,600,219600
4,Arizona,1002,3,1999,2380,433160
4,Arizona,1002,1,1982,700,255500
4,Arizona,1002,1,1983,700,255500
4,Arizona,1002,1,1984,800,292800
4,Arizona,1002,1,1985,900,328500
4,Arizona,1002,1,1986,1000,365000
4,Arizona,1002,1,1987,1100,401500
4,Arizona,1002,1,1988,1000,366000
4,Arizona,1002,1,1989,1100,401500
4,Arizona,1002,1,1990,1102,402230
4,Arizona,1002,1,1991,1150,419750
4,Arizona,1002,1,1992,1200,439200
4,Arizona,1002,1,1993,981,358065
4,Arizona,1002,1,1994,1066,389090
4,Arizona,1002,1,1995,1300,474500
4,Arizona,1002,1,1996,1400,289800
