cluster_id,feature,representative,is_selected
1,TRF_CMLTV_VOL_VEH_CLASS_9_TREND,TRF_CMLTV_VOL_VEH_CLASS_9_TREND,True
2,FEAT_AGE_YEARS,FEAT_AGE_YEARS,True
3,TRF_TVP_VEH_CLASS_DIST_PERCENT,TRF_TVP_VEH_CLASS_DIST_PERCENT,True
4,AC_REPR_THICKNESS,AC_REPR_THICKNESS,True
4,AC_SUP_REPR_THICKNESS,AC_REPR_THICKNESS,False
5,LAYER_COUNT_TOTAL,LAYER_COUNT_TOTAL,True
5,AC_SUP_LAYER_NO,LAYER_COUNT_TOTAL,False
6,UB_RESILIENT_MODULUS,UB_RESILIENT_MODULUS,True
6,UB_SUP_RESILIENT_MODULUS,UB_RESILIENT_MODULUS,False
7,UB_TWO_PASSING,UB_ONE_AND_HALF_PASSING,False
7,UB_ONE_AND_HALF_PASSING,UB_ONE_AND_HALF_PASSING,True
7,UB_SUP_ONE_AND_HALF_PASSING,UB_ONE_AND_HALF_PASSING,False
7,UB_SUP_TWO_PASSING,UB_ONE_AND_HALF_PASSING,False
8,UB_THREE_FOURTHS_PASSING,UB_THREE_FOURTHS_PASSING,True
8,UB_ONE_HALF_PASSING,UB_THREE_FOURTHS_PASSING,False
8,UB_THREE_EIGHTHS_PASSING,UB_THREE_FOURTHS_PASSING,False
8,UB_NO_4_PASSING,UB_THREE_FOURTHS_PASSING,False
8,UB_NO_10_PASSING,UB_THREE_FOURTHS_PASSING,False
8,UB_SUP_NO_10_PASSING,UB_THREE_FOURTHS_PASSING,False
8,UB_SUP_NO_4_PASSING,UB_THREE_FOURTHS_PASSING,False
8,UB_SUP_ONE_HALF_PASSING,UB_THREE_FOURTHS_PASSING,False
8,UB_SUP_THREE_EIGHTHS_PASSING,UB_THREE_FOURTHS_PASSING,False
8,UB_SUP_THREE_FOURTHS_PASSING,UB_THREE_FOURTHS_PASSING,False
9,UB_NO_40_PASSING,UB_NO_80_PASSING,False
9,UB_NO_80_PASSING,UB_NO_80_PASSING,True
9,UB_RESILIENT_MODULUS_K3,UB_NO_80_PASSING,False
9,UB_SUP_NO_40_PASSING,UB_NO_80_PASSING,False
9,UB_SUP_NO_80_PASSING,UB_NO_80_PASSING,False
9,UB_SUP_RESILIENT_MODULUS_K3,UB_NO_80_PASSING,False
10,UB_RESILIENT_MODULUS_K2,UB_RESILIENT_MODULUS_K2,True
10,UB_SUP_RESILIENT_MODULUS_K2,UB_RESILIENT_MODULUS_K2,False
11,UB_MAX_LAB_DRY_DENSITY,UB_SUP_MAX_LAB_DRY_DENSITY,False
11,UB_SUP_MAX_LAB_DRY_DENSITY,UB_SUP_MAX_LAB_DRY_DENSITY,True
12,UB_OPTIMUM_LAB_MOISTURE,UB_SUP_OPTIMUM_LAB_MOISTURE,False
12,UB_SUP_OPTIMUM_LAB_MOISTURE,UB_SUP_OPTIMUM_LAB_MOISTURE,True
13,UB_LIQUID_LIMIT,UB_SUP_LIQUID_LIMIT,False
13,UB_PLASTIC_LIMIT,UB_SUP_LIQUID_LIMIT,False
13,UB_SUP_LIQUID_LIMIT,UB_SUP_LIQUID_LIMIT,True
13,UB_SUP_PLASTIC_LIMIT,UB_SUP_LIQUID_LIMIT,False
14,UB_NO_200_PASSING,UB_SUP_NO_200_PASSING,False
14,UB_HYDRAULIC_CONDUCTIVITY,UB_SUP_NO_200_PASSING,False
14,UB_SUP_NO_200_PASSING,UB_SUP_NO_200_PASSING,True
15,UB_AASHTO_SOIL_CLASS,UB_AASHTO_SOIL_CLASS,True
16,AC_IDT_AVERAGE,AC_IDT_AVERAGE,True
16,AC_SUP_IDT_AVERAGE,AC_IDT_AVERAGE,False
17,UB_ONE_PASSING,UB_SUP_ONE_PASSING,False
17,UB_SUP_ONE_PASSING,UB_SUP_ONE_PASSING,True
18,UB_SUP_LAYER_NO,UB_SUP_LAYER_NO,True
19,SHRP_LTPP_DIR,SHRP_LTPP_DIR,True
20,TRF_ALDF_MEPDG_LG06,TRF_ALDF_MEPDG_LG06,True
21,TRF_ALDF_MEPDG_LG26,TRF_ALDF_MEPDG_LG31,False
21,TRF_ALDF_MEPDG_LG27,TRF_ALDF_MEPDG_LG31,False
21,TRF_ALDF_MEPDG_LG31,TRF_ALDF_MEPDG_LG31,True
21,TRF_ALDF_MEPDG_LG34,TRF_ALDF_MEPDG_LG31,False
21,TRF_ALDF_MEPDG_LG35,TRF_ALDF_MEPDG_LG31,False
22,TRF_ALDF_MEPDG_LG30,TRF_ALDF_MEPDG_LG37,False
22,TRF_ALDF_MEPDG_LG37,TRF_ALDF_MEPDG_LG37,True
23,TRF_ALDF_MEPDG_LG29,TRF_ALDF_MEPDG_LG36,False
23,TRF_ALDF_MEPDG_LG36,TRF_ALDF_MEPDG_LG36,True
24,TRF_ALDF_MEPDG_LG28,TRF_ALDF_MEPDG_LG28,True
25,TRF_ALDF_MEPDG_LG32,TRF_ALDF_MEPDG_LG32,True
26,TRF_ALDF_MEPDG_LG07,TRF_ALDF_MEPDG_LG07,True
27,L05B_INV_LAYER_NO,L05B_INV_LAYER_NO,True
28,UB_THREE_PASSING,UB_THREE_PASSING,True
29,CLIM_WIND_VELOCITY_AVG,CLIM_WIND_VELOCITY_AVG,True
29,CLIM_WIND_VELOCITY_AVG_SPRING,CLIM_WIND_VELOCITY_AVG,False
29,CLIM_WIND_VELOCITY_AVG_WINTER,CLIM_WIND_VELOCITY_AVG,False
30,CLIM_WIND_VELOCITY_AVG_FALL,CLIM_WIND_VELOCITY_AVG_FALL,True
31,AC_NO_40_PASSING,AC_NO_40_PASSING,True
31,AC_SUP_NO_40_PASSING,AC_NO_40_PASSING,False
32,AC_NO_10_PASSING,AC_NO_10_PASSING,True
32,AC_SUP_NO_10_PASSING,AC_NO_10_PASSING,False
33,AC_NO_80_PASSING,AC_NO_80_PASSING,True
33,AC_SUP_NO_80_PASSING,AC_NO_80_PASSING,False
34,TRF_REP_REP_ESAL_PER_VEH_CLASS_13,TRF_REP_REP_ESAL_PER_VEH_CLASS_13,True
34,TRF_REP_REP_GESAL_PER_VEH_CLASS_13,TRF_REP_REP_ESAL_PER_VEH_CLASS_13,False
34,TRF_REP_REP_GVW_VEH_CLASS_13,TRF_REP_REP_ESAL_PER_VEH_CLASS_13,False
35,TRF_REP_REP_ESAL_TANDEM_AXLE,TRF_REP_REP_GESAL_TANDEM_AXLE,False
35,TRF_REP_REP_GESAL_TANDEM_AXLE,TRF_REP_REP_GESAL_TANDEM_AXLE,True
36,TRF_REP_REP_ESAL_PER_VEH_CLASS_9,TRF_REP_REP_GESAL_PER_VEH_CLASS_9,False
36,TRF_REP_REP_GESAL_PER_VEH_CLASS_9,TRF_REP_REP_GESAL_PER_VEH_CLASS_9,True
37,TRF_REP_REP_GVW_VEH_CLASS_9,TRF_REP_REP_GVW_VEH_CLASS_9,True
38,TRF_APT_TRIDEM_AXLES,TRF_APT_TRIDEM_AXLES,True
39,TRF_REP2_REP_PERCENT_VEH_CLASS_12,TRF_AADTT_VEH_CLASS_12_TREND,False
39,TRF_AADTT_VEH_CLASS_12_TREND,TRF_AADTT_VEH_CLASS_12_TREND,True
40,TRF_REP_REP_GVW_VEH_CLASS_7,TRF_REP_REP_GVW_VEH_CLASS_7,True
41,TRF_APT_TANDEM_AXLES,TRF_APT_TANDEM_AXLES,True
42,TRF_REP2_REP_PERCENT_VEH_CLASS_8,TRF_REP2_REP_PERCENT_VEH_CLASS_8,True
43,UB_RESILIENT_MODULUS_K1,UB_RESILIENT_MODULUS_K1,True
44,AC_BSG,AC_BSG,True
44,AC_SUP_BSG,AC_BSG,False
45,SHRP_CLASS_SITE,SHRP_CLASS_SITE,True
46,TRF_ALDF_MEPDG_LG04,TRF_ALDF_MEPDG_LG04,True
47,TRF_ALDF_MEPDG_LG24,TRF_ALDF_MEPDG_LG24,True
48,TRF_ALDF_MEPDG_LG05,TRF_ALDF_MEPDG_LG05,True
49,TRF_REP_REP_ESAL_PER_VEH_CLASS_6,TRF_REP_REP_GESAL_PER_VEH_CLASS_6,False
49,TRF_REP_REP_GESAL_PER_VEH_CLASS_6,TRF_REP_REP_GESAL_PER_VEH_CLASS_6,True
49,TRF_REP_REP_GVW_VEH_CLASS_6,TRF_REP_REP_GESAL_PER_VEH_CLASS_6,False
50,TRF_REP_REP_ESAL_PER_VEH_CLASS_4,TRF_REP_REP_GESAL_PER_VEH_CLASS_4,False
50,TRF_REP_REP_GESAL_PER_VEH_CLASS_4,TRF_REP_REP_GESAL_PER_VEH_CLASS_4,True
51,TRF_REP_REP_GVW_VEH_CLASS_5,TRF_REP_REP_GVW_VEH_CLASS_5,True
52,TRF_ALDF_MEPDG_LG02,TRF_ALDF_MEPDG_LG02,True
53,TRF_ALDF_MEPDG_LG03,TRF_ALDF_MEPDG_LG03,True
54,SHRP_FUNC_CLASS,SHRP_FUNC_CLASS,True
55,TRF_REP_REP_ESAL_PER_VEH_CLASS_5,TRF_REP_REP_ESAL_PER_VEH_CLASS_5,True
55,TRF_REP_REP_GESAL_PER_VEH_CLASS_5,TRF_REP_REP_ESAL_PER_VEH_CLASS_5,False
56,TRF_REP_REP_GVW_VEH_CLASS_8,TRF_REP_REP_GVW_VEH_CLASS_8,True
57,TRF_APT_QUAD_AXLES,TRF_APT_QUAD_AXLES,True
58,SHRP_DATA_AVAILABILITY,SHRP_DATA_AVAILABILITY,True
59,TRF_ALDF_MEPDG_LG33,TRF_ALDF_MEPDG_LG33,True
60,AC_NO_200_PASSING,AC_NO_200_PASSING,True
60,AC_SUP_NO_200_PASSING,AC_NO_200_PASSING,False
61,AC_VOIDS_MINERAL_AGGR,AC_SUP_VOIDS_MINERAL_AGGR,False
61,AC_SUP_VOIDS_MINERAL_AGGR,AC_SUP_VOIDS_MINERAL_AGGR,True
62,AC_MAX_SPEC_GRAVITY,AC_SUP_MAX_SPEC_GRAVITY,False
62,AC_SUP_MAX_SPEC_GRAVITY,AC_SUP_MAX_SPEC_GRAVITY,True
63,TRF_REP_REP_ESAL_PER_VEH_CLASS_11,TRF_REP_REP_GESAL_PER_VEH_CLASS_11,False
63,TRF_REP_REP_GESAL_PER_VEH_CLASS_11,TRF_REP_REP_GESAL_PER_VEH_CLASS_11,True
64,TRF_REP_REP_GVW_VEH_CLASS_12,TRF_REP_REP_GVW_VEH_CLASS_12,True
65,TRF_REP_REP_GVW_VEH_CLASS_11,TRF_REP_REP_GVW_VEH_CLASS_11,True
66,TRF_REP_REP_ESAL_PER_VEH_CLASS_10,TRF_REP_REP_GESAL_PER_VEH_CLASS_10,False
66,TRF_REP_REP_GESAL_PER_VEH_CLASS_10,TRF_REP_REP_GESAL_PER_VEH_CLASS_10,True
66,TRF_REP_REP_GVW_VEH_CLASS_10,TRF_REP_REP_GESAL_PER_VEH_CLASS_10,False
67,TRF_REP_REP_ESAL_SINGLE_AXLE,TRF_REP_REP_ESAL_SINGLE_AXLE,True
67,TRF_REP_REP_GESAL_SINGLE_AXLE,TRF_REP_REP_ESAL_SINGLE_AXLE,False
68,TRF_REP_REP_ESAL_PER_VEH_CLASS_12,TRF_REP_REP_ESAL_PER_VEH_CLASS_12,True
69,TRF_REP_REP_GESAL_PER_VEH_CLASS_12,TRF_REP_REP_GESAL_PER_VEH_CLASS_12,True
70,UB_REPR_THICKNESS,UB_REPR_THICKNESS,True
70,UB_SUP_REPR_THICKNESS,UB_REPR_THICKNESS,False
71,L05B_REPR_THICKNESS,L05B_REPR_THICKNESS,True
72,LAYER_THICKNESS_TOTAL_MM,LAYER_THICKNESS_TOTAL_MM,True
73,SHRP_LANES_LTPP_DIR,SHRP_LANES_LTPP_DIR,True
74,TRF_AADTT_VEH_CLASS_5_TREND,TRF_AADTT_VEH_CLASS_5_TREND,True
75,TRF_AADTT_VEH_CLASS_6_TREND,TRF_AADTT_VEH_CLASS_6_TREND,True
76,TRF_AADTT_VEH_CLASS_4_TREND,TRF_AADTT_VEH_CLASS_4_TREND,True
77,TRF_AADTT_VEH_CLASS_8_TREND,TRF_AADTT_VEH_CLASS_8_TREND,True
78,TRF_ALDF_MEPDG_LG14,TRF_ALDF_MEPDG_LG15,False
78,TRF_ALDF_MEPDG_LG15,TRF_ALDF_MEPDG_LG15,True
79,TRF_ALDF_MEPDG_LG11,TRF_ALDF_MEPDG_LG11,True
79,TRF_ALDF_MEPDG_LG12,TRF_ALDF_MEPDG_LG11,False
79,TRF_ALDF_MEPDG_LG13,TRF_ALDF_MEPDG_LG11,False
80,TRF_REP_REP_LOAD_USE_RATING,TRF_REP_REP_LOAD_USE_RATING,True
81,TRF_APT_SINGLE_AXLES,TRF_APT_SINGLE_AXLES,True
82,TRF_ALDF_MEPDG_LG08,TRF_ALDF_MEPDG_LG08,True
83,TRF_ALDF_MEPDG_LG10,TRF_ALDF_MEPDG_LG10,True
84,TRF_TVP_AADTT_FIRST_YEAR_LTPP_LANE,TRF_TVP_AADTT_FIRST_YEAR_LTPP_LANE,True
85,TRF_ALDF_MEPDG_LG16,TRF_ALDF_MEPDG_LG16,True
86,TRF_ALDF_MEPDG_LG17,TRF_ALDF_MEPDG_LG17,True
87,TRF_REP_REP_GVW_VEH_CLASS_4,TRF_REP_REP_GVW_VEH_CLASS_4,True
88,TRF_TVP_VEH_CLASS_GROWTH_RATE,TRF_TVP_VEH_CLASS_GROWTH_RATE,True
89,AC_ASPHALT_CONTENT_MEAN,AC_ASPHALT_CONTENT_MEAN,True
89,AC_SUP_ASPHALT_CONTENT_MEAN,AC_ASPHALT_CONTENT_MEAN,False
90,TRF_ALDF_TOTAL,TRF_ALDF_TOTAL,True
91,TRF_ALDF_MEPDG_LG38,TRF_ALDF_MEPDG_LG38,True
92,LAYER_COUNT_AC,LAYER_COUNT_AC,True
93,L05B_MATL_CODE,L05B_MATL_CODE,True
94,LAYER_COUNT_UNBOUND,LAYER_COUNT_UNBOUND,True
94,UB_DESCRIPTION,LAYER_COUNT_UNBOUND,False
95,UB_SPEC_GRAVITY,UB_SPEC_GRAVITY,True
95,UB_SUP_SPEC_GRAVITY,UB_SPEC_GRAVITY,False
96,LAYER_THICKNESS_UB_MM,LAYER_THICKNESS_UB_MM,True
97,UB_MATL_CODE,UB_MATL_CODE,True
98,TRF_ALDF_MEPDG_LG01,TRF_ALDF_MEPDG_LG01,True
99,LAYER_THICKNESS_AC_MM,LAYER_THICKNESS_AC_MM,True
100,COMP_STRUCT_ADEQUACY,COMP_STRUCT_ADEQUACY,True
101,AC_ESTAR_LINK_GROUP,AC_ESTAR_LINK_GROUP,True
102,AC_IDT_POISSON_USED,AC_IDT_POISSON_USED,True
102,AC_SUP_IDT_POISSON_USED,AC_IDT_POISSON_USED,False
103,TRF_REP_REP_ESAL_PER_VEH_CLASS_7,TRF_REP_REP_GESAL_PER_VEH_CLASS_7,False
103,TRF_REP_REP_GESAL_PER_VEH_CLASS_7,TRF_REP_REP_GESAL_PER_VEH_CLASS_7,True
104,TRF_AADTT_VEH_CLASS_10_TREND,TRF_AADTT_VEH_CLASS_10_TREND,True
105,AC_ONE_PASSING,AC_ONE_PASSING,True
105,AC_SUP_ONE_PASSING,AC_ONE_PASSING,False
106,AC_NO_4_PASSING,AC_NO_4_PASSING,True
106,AC_SUP_NO_4_PASSING,AC_NO_4_PASSING,False
107,AC_ONE_HALF_PASSING,AC_ONE_HALF_PASSING,True
