cluster_id,feature,representative,is_selected
1,LAYER_COUNT_TOTAL,LAYER_COUNT_TOTAL,True
1,AC_SUP_LAYER_NO,LAYER_COUNT_TOTAL,False
2,AC_REPR_THICKNESS,AC_SUP_REPR_THICKNESS,False
2,AC_SUP_REPR_THICKNESS,AC_SUP_REPR_THICKNESS,True
3,L05B_INV_LAYER_NO,L05B_INV_LAYER_NO,True
4,AC_IDT_AVERAGE,AC_SUP_IDT_AVERAGE,False
4,AC_SUP_IDT_AVERAGE,AC_SUP_IDT_AVERAGE,True
5,UB_THREE_FOURTHS_PASSING,UB_THREE_FOURTHS_PASSING,True
5,UB_SUP_THREE_FOURTHS_PASSING,UB_THREE_FOURTHS_PASSING,False
6,UB_ONE_HALF_PASSING,UB_NO_4_PASSING,False
6,UB_THREE_EIGHTHS_PASSING,UB_NO_4_PASSING,False
6,UB_NO_4_PASSING,UB_NO_4_PASSING,True
6,UB_NO_10_PASSING,UB_NO_4_PASSING,False
6,UB_NO_40_PASSING,UB_NO_4_PASSING,False
6,UB_SUP_NO_10_PASSING,UB_NO_4_PASSING,False
6,UB_SUP_NO_40_PASSING,UB_NO_4_PASSING,False
6,UB_SUP_NO_4_PASSING,UB_NO_4_PASSING,False
6,UB_SUP_ONE_HALF_PASSING,UB_NO_4_PASSING,False
6,UB_SUP_THREE_EIGHTHS_PASSING,UB_NO_4_PASSING,False
7,UB_NO_200_PASSING,UB_NO_200_PASSING,True
7,UB_SUP_NO_200_PASSING,UB_NO_200_PASSING,False
8,UB_NO_80_PASSING,UB_NO_80_PASSING,True
8,UB_RESILIENT_MODULUS_K3,UB_NO_80_PASSING,False
8,UB_SUP_NO_80_PASSING,UB_NO_80_PASSING,False
8,UB_SUP_RESILIENT_MODULUS_K3,UB_NO_80_PASSING,False
9,UB_HYDRAULIC_CONDUCTIVITY,UB_HYDRAULIC_CONDUCTIVITY,True
10,UB_MAX_LAB_DRY_DENSITY,UB_MAX_LAB_DRY_DENSITY,True
10,UB_SUP_MAX_LAB_DRY_DENSITY,UB_MAX_LAB_DRY_DENSITY,False
11,UB_OPTIMUM_LAB_MOISTURE,UB_OPTIMUM_LAB_MOISTURE,True
11,UB_SUP_OPTIMUM_LAB_MOISTURE,UB_OPTIMUM_LAB_MOISTURE,False
12,UB_RESILIENT_MODULUS_K2,UB_RESILIENT_MODULUS_K2,True
12,UB_SUP_RESILIENT_MODULUS_K2,UB_RESILIENT_MODULUS_K2,False
