cluster_id,feature,representative,is_selected
1,AC_IDT_AVERAGE,AC_IDT_AVERAGE,True
1,AC_SUP_IDT_AVERAGE,AC_IDT_AVERAGE,False
2,UB_RESILIENT_MODULUS,UB_RESILIENT_MODULUS,True
2,UB_SUP_RESILIENT_MODULUS,UB_RESILIENT_MODULUS,False
3,UB_TWO_PASSING,UB_TWO_PASSING,True
3,UB_ONE_AND_HALF_PASSING,UB_TWO_PASSING,False
3,UB_SUP_ONE_AND_HALF_PASSING,UB_TWO_PASSING,False
3,UB_SUP_TWO_PASSING,UB_TWO_PASSING,False
4,UB_MAX_LAB_DRY_DENSITY,UB_MAX_LAB_DRY_DENSITY,True
4,UB_SUP_MAX_LAB_DRY_DENSITY,UB_MAX_LAB_DRY_DENSITY,False
5,UB_OPTIMUM_LAB_MOISTURE,UB_SUP_OPTIMUM_LAB_MOISTURE,False
5,UB_SUP_OPTIMUM_LAB_MOISTURE,UB_SUP_OPTIMUM_LAB_MOISTURE,True
6,UB_RESILIENT_MODULUS_K2,UB_RESILIENT_MODULUS_K2,True
6,UB_SUP_RESILIENT_MODULUS_K2,UB_RESILIENT_MODULUS_K2,False
7,UB_LIQUID_LIMIT,UB_PLASTIC_LIMIT,False
7,UB_PLASTIC_LIMIT,UB_PLASTIC_LIMIT,True
7,UB_SUP_LIQUID_LIMIT,UB_PLASTIC_LIMIT,False
7,UB_SUP_PLASTIC_LIMIT,UB_PLASTIC_LIMIT,False
8,UB_THREE_FOURTHS_PASSING,UB_THREE_FOURTHS_PASSING,True
8,UB_ONE_HALF_PASSING,UB_THREE_FOURTHS_PASSING,False
8,UB_THREE_EIGHTHS_PASSING,UB_THREE_FOURTHS_PASSING,False
8,UB_NO_4_PASSING,UB_THREE_FOURTHS_PASSING,False
8,UB_NO_10_PASSING,UB_THREE_FOURTHS_PASSING,False
8,UB_SUP_NO_10_PASSING,UB_THREE_FOURTHS_PASSING,False
8,UB_SUP_NO_4_PASSING,UB_THREE_FOURTHS_PASSING,False
8,UB_SUP_ONE_HALF_PASSING,UB_THREE_FOURTHS_PASSING,False
8,UB_SUP_THREE_EIGHTHS_PASSING,UB_THREE_FOURTHS_PASSING,False
8,UB_SUP_THREE_FOURTHS_PASSING,UB_THREE_FOURTHS_PASSING,False
9,UB_NO_200_PASSING,UB_HYDRAULIC_CONDUCTIVITY,False
9,UB_HYDRAULIC_CONDUCTIVITY,UB_HYDRAULIC_CONDUCTIVITY,True
9,UB_SUP_NO_200_PASSING,UB_HYDRAULIC_CONDUCTIVITY,False
10,UB_NO_40_PASSING,UB_RESILIENT_MODULUS_K3,False
10,UB_NO_80_PASSING,UB_RESILIENT_MODULUS_K3,False
10,UB_RESILIENT_MODULUS_K3,UB_RESILIENT_MODULUS_K3,True
10,UB_SUP_NO_40_PASSING,UB_RESILIENT_MODULUS_K3,False
10,UB_SUP_NO_80_PASSING,UB_RESILIENT_MODULUS_K3,False
10,UB_SUP_RESILIENT_MODULUS_K3,UB_RESILIENT_MODULUS_K3,False
11,UB_AASHTO_SOIL_CLASS,UB_AASHTO_SOIL_CLASS,True
12,UB_REPR_THICKNESS,UB_REPR_THICKNESS,True
12,UB_SUP_REPR_THICKNESS,UB_REPR_THICKNESS,False
13,L05B_REPR_THICKNESS,L05B_REPR_THICKNESS,True
