feature,pct_missing
EVT_IMP_QUANTITY,98.59
EVT_IMP_THICKNESS,98.5
DIS_OTHER,97.57
L05B_INV_LAYER_NO_2,96.75
EVT_IMP_TYPE,96.52
TRF_HOURLY_MAX_PCT,95.61
TRF_HOURLY_MEAN_PCT,95.61
DIS_RAVELING,91.86
DIS_POLISH_AGG_A,91.86
DIS_BLEEDING,91.86
DIS_MEPDG_TRANS_CRACK_LENGTH_AC,91.54
DIS_TRANS_CRACK_SEAL_L,91.54
DIS_TRANS_CRACK_SEAL_L_L,91.52
DIS_TRANS_CRACK_L_GT183,91.49
DIS_MEPDG_LONG_CRACK_LENGTH_AC,91.47
DIS_LONG_CRACK_WP_SEAL_L,91.47
DIS_LONG_CRACK_WP_SEAL_L_L,91.45
DIS_LONG_CRACK_WP_SEAL_L_H,91.43
DIS_LONG_CRACK_NWP_SEAL_L,91.43
DIS_LONG_CRACK_NWP_L_L,91.43
DIS_LONG_CRACK_NWP_L,91.43
DIS_LONG_CRACK_NWP_SEAL_L_L,91.43
DIS_TRANS_CRACK_SEAL_L_M,91.43
DIS_TRANS_CRACK_NO_M,91.4
DIS_TRANS_CRACK_L_L,91.4
DIS_TRANS_CRACK_L,91.4
DIS_TRANS_CRACK_NO_H,91.4
DIS_POTHOLES_A_L,91.4
DIS_TRANS_CRACK_NO_L,91.4
DIS_TRANS_CRACK_NO,91.4
DIS_TRANS_CRACK_L_H,91.4
DIS_LONG_CRACK_NWP_SEAL_L_H,91.4
DIS_LONG_CRACK_NWP_SEAL_L_M,91.4
DIS_TRANS_CRACK_L_M,91.4
DIS_SHOVING_A,91.4
DIS_POTHOLES_A,91.4
DIS_SHOVING_NO,91.4
DIS_PATCH_NO,91.4
DIS_PATCH_NO_L,91.4
DIS_PATCH_NO_M,91.4
DIS_POTHOLES_A_H,91.4
DIS_POTHOLES_A_M,91.4
DIS_PATCH_A,91.4
DIS_PATCH_A_L,91.4
DIS_PATCH_A_M,91.4
DIS_PATCH_A_H,91.4
DIS_POTHOLES_NO,91.4
DIS_POTHOLES_NO_L,91.4
DIS_POTHOLES_NO_H,91.4
DIS_PATCH_NO_H,91.4
DIS_POTHOLES_NO_M,91.4
DIS_LONG_CRACK_NWP_L_H,91.4
DIS_GATOR_CRACK_A_H,91.4
DIS_BLOCKVERSE_CRACKING,91.4
DIS_LONGIGATOR_CRACKING,91.4
DIS_WP_LENGTH_CRACKED,91.4
DIS_PUMPING_L,91.4
DIS_HPMS16_CRACKING_PERCENT_AC,91.4
DIS_MEPDG_CRACKING_PERCENT_AC,91.4
DIS_LONG_CRACK_NWP_L_M,91.4
DIS_SURVEY_WIDTH,91.4
DIS_GATOR_CRACK_A,91.4
DIS_GATOR_CRACK_A_L,91.4
DIS_GATOR_CRACK_A_M,91.4
DIS_ME_PERCENT_WHEEL_PATH_CRACK,91.4
DIS_BLK_CRACK_A,91.4
DIS_BLK_CRACK_A_L,91.4
DIS_PUMPING_NO,91.4
DIS_LONG_CRACK_WP_L_M,91.4
DIS_LONG_CRACK_WP_L_L,91.4
DIS_LONG_CRACK_WP_L,91.4
DIS_LONG_CRACK_WP_L_H,91.4
DIS_EDGE_CRACK_L_M,91.4
DIS_EDGE_CRACK_L_L,91.4
DIS_EDGE_CRACK_L,91.4
DIS_BLK_CRACK_A_H,91.4
DIS_BLK_CRACK_A_M,91.4
RUT_MAX_MEAN_DEPTH_WIRE_REF,87.13
RUT_RLH_DEPTH_WIRE_REF_MEAN,87.13
RUT_LLH_DEPTH_WIRE_REF_MEAN,87.13
RUT_MAX_MEAN_DEPTH_1_8,87.13
RUT_LLH_DEPTH_1_8_MEAN,87.13
RUT_PVMT_WIDTH,87.13
RUT_START_TIME,87.13
RUT_NO_PROFILES,87.13
RUT_T_PROF_DEVICE_CODE,87.13
RUT_RLH_DEPTH_1_8_MEAN,87.13
UB_PLASTICITY_INDEX,85.79
TRF_MONTHLY_RATIO_MAX,83.33
TRF_MONTHLY_RATIO_MEAN,83.33
TRF_MONTHLY_RATIO_STD,83.33
SEAS_ID,79.67
AC_ABSOLUTE_VISC_140_F,75.19
AC_KINEMATIC_VISC_275_F,75.19
TR_REPR_THICKNESS,70.5
TR_MATL_CODE,70.5
TR_DESCRIPTION,70.5
TR_SUP_LAYER_NO,70.5
TR_SUP_REPR_THICKNESS,70.5
CREEP_CREEP_COMP_2_SEC_25C,67.96
CRCOM_CREEP_COMP_20_SEC_10C,67.96
CRCOM_CREEP_COMP_2_SEC_25C,67.96
CRCOM_CREEP_COMP_20_SEC_25C,67.96
CRCOM_CREEP_COMP_20_SEC_5C,67.96
CREEP_CREEP_COMP_2_SEC_5C,67.96
