model,n,R2,RMSE,MAE
persist_k1_design_iri,32,0.853,0.2108,0.1197
persist_k2_design_iri,66,0.2874,0.4276,0.1932
persist_k3_design_iri,73,0.3813,0.415,0.193
persist_k1_monitoring_iri,25,0.8497,0.2082,0.1141
persist_k2_monitoring_iri,50,0.4581,0.3251,0.1562
persist_k3_monitoring_iri,52,0.4743,0.3234,0.1583
persist_k1_design_rutting,22,0.8096,1.4924,0.9545
persist_k2_design_rutting,47,0.4731,2.1977,1.2553
persist_k3_design_rutting,56,0.4379,2.1255,1.2321
persist_k1_monitoring_rutting,14,-1.75,1.5353,0.9286
persist_k2_monitoring_rutting,32,0.2129,2.0917,1.1875
persist_k3_monitoring_rutting,33,0.2177,2.0671,1.1818
persist_k1_design_distress,6,-0.4671,30.6077,17.8333
persist_k2_design_distress,12,-0.418,27.4333,15.5833
persist_k3_design_distress,26,0.2933,18.7031,7.8846
persist_k1_monitoring_distress,5,-0.6258,33.5261,21.2
persist_k2_monitoring_distress,7,-0.5791,29.5296,18.2857
persist_k3_monitoring_distress,16,0.2086,19.6326,9.0625
