arch,target,task,feature,mean_abs_shap
xgb,iri,design,AC_AIR_VOIDS_AVG_WP,0.003386
xgb,iri,design,AC_ASPHALT_CONTENT_MEAN,0.016125
xgb,iri,design,AC_BSG,0.014079
xgb,iri,design,AC_DESCRIPTION,0.002731
xgb,iri,design,AC_ESTAR_LINK_GROUP,0.000498
xgb,iri,design,AC_IDT_POISSON_USED,0.006382
xgb,iri,design,AC_MATL_CODE,0.001599
xgb,iri,design,AC_NO_10_PASSING,0.02068
xgb,iri,design,AC_NO_40_PASSING,0.000366
xgb,iri,design,AC_NO_80_PASSING,0.001898
xgb,iri,design,AC_ONE_HALF_PASSING,0.003369
xgb,iri,design,AC_ONE_PASSING,0.0
xgb,iri,design,AC_SUP_IDT_AVERAGE,0.002202
xgb,iri,design,AC_SUP_MAX_SPEC_GRAVITY,0.005057
xgb,iri,design,AC_SUP_NO_200_PASSING,0.000924
xgb,iri,design,AC_SUP_NO_4_PASSING,0.002126
xgb,iri,design,AC_SUP_REPR_THICKNESS,0.006806
xgb,iri,design,AC_SUP_VOIDS_MINERAL_AGGR,0.005305
xgb,iri,design,AC_THERMAL_CONDUCTIVITY,0.0
xgb,iri,design,AC_THREE_FOURTHS_PASSING,0.001284
xgb,iri,design,CLIM_CLOUD_COVER_AVG,0.001488
xgb,iri,design,CLIM_ELEVATION,0.000476
xgb,iri,design,CLIM_FREEZE_INDEX_FALL,0.002887
xgb,iri,design,CLIM_FREEZE_THAW_FALL,0.000436
xgb,iri,design,CLIM_FREEZE_THAW_WINTER,0.002424
xgb,iri,design,CLIM_PRECIPITATION,0.001826
xgb,iri,design,CLIM_PRECIP_DAYS,0.0
xgb,iri,design,CLIM_SHORTWAVE_SURFACE_AVG,0.002532
xgb,iri,design,CLIM_SHORTWAVE_SURFACE_AVG_SUMMER,0.00409
xgb,iri,design,CLIM_STDDEV_HIGH_TEMP_7DAYS,0.000891
xgb,iri,design,CLIM_WIND_VELOCITY_AVG,0.000255
xgb,iri,design,CLIM_WIND_VELOCITY_AVG_FALL,0.000394
xgb,iri,design,CLIM_WIND_VELOCITY_AVG_SUMMER,0.000623
xgb,iri,design,CLIM_WIND_VELOCITY_AVG_WINTER,0.00016
xgb,iri,design,COMP_AGE_CLIMATE,0.025561
xgb,iri,design,COMP_MAT_FREEZE_SUSC,0.004067
xgb,iri,design,COMP_STRUCT_ADEQUACY,0.010725
xgb,iri,design,COMP_WET_FREEZE,0.000897
xgb,iri,design,FEAT_AGE_YEARS,0.03638
xgb,iri,design,L05B_DESCRIPTION,0.026378
xgb,iri,design,L05B_INV_LAYER_NO,0.002206
xgb,iri,design,L05B_MATL_CODE,0.022768
xgb,iri,design,L05B_REPR_THICKNESS,0.040203
xgb,iri,design,LAYER_COUNT_AC,0.039942
xgb,iri,design,LAYER_COUNT_TOTAL,0.009519
xgb,iri,design,LAYER_COUNT_UNBOUND,0.00371
xgb,iri,design,LAYER_SURFACE_MATL_CODE,0.013451
xgb,iri,design,LAYER_THICKNESS_AC_MM,0.01633
xgb,iri,design,LAYER_THICKNESS_TOTAL_MM,0.001228
xgb,iri,design,LAYER_THICKNESS_UB_MM,0.008915
xgb,iri,design,SHRP_CLASS_SITE,0.0
xgb,iri,design,SHRP_DATA_AVAILABILITY,0.0
xgb,iri,design,SHRP_FUNC_CLASS,0.0
xgb,iri,design,SHRP_ID3,0.003121
xgb,iri,design,SHRP_ID6,0.000398
xgb,iri,design,SHRP_LANES_LTPP_DIR,0.000453
xgb,iri,design,SHRP_LTPP_DIR,0.000312
xgb,iri,design,TRF_AADTT_VEH_CLASS_10_TREND,0.003094
xgb,iri,design,TRF_AADTT_VEH_CLASS_11_TREND,0.004356
xgb,iri,design,TRF_AADTT_VEH_CLASS_13_TREND,0.008669
xgb,iri,design,TRF_AADTT_VEH_CLASS_4_TREND,0.021242
xgb,iri,design,TRF_AADTT_VEH_CLASS_5_TREND,0.005643
xgb,iri,design,TRF_AADTT_VEH_CLASS_6_TREND,0.006883
xgb,iri,design,TRF_AADTT_VEH_CLASS_7_TREND,0.005357
xgb,iri,design,TRF_AADTT_VEH_CLASS_8_TREND,0.011461
xgb,iri,design,TRF_AADTT_VEH_CLASS_9_TREND,0.008344
xgb,iri,design,TRF_ALDF_MEPDG_LG01,0.000123
xgb,iri,design,TRF_ALDF_MEPDG_LG02,0.000347
xgb,iri,design,TRF_ALDF_MEPDG_LG03,0.00067
xgb,iri,design,TRF_ALDF_MEPDG_LG04,0.001681
xgb,iri,design,TRF_ALDF_MEPDG_LG05,0.000977
xgb,iri,design,TRF_ALDF_MEPDG_LG06,0.000532
xgb,iri,design,TRF_ALDF_MEPDG_LG07,0.001173
xgb,iri,design,TRF_ALDF_MEPDG_LG08,0.001598
xgb,iri,design,TRF_ALDF_MEPDG_LG09,0.000736
xgb,iri,design,TRF_ALDF_MEPDG_LG10,0.000301
xgb,iri,design,TRF_ALDF_MEPDG_LG11,0.000112
xgb,iri,design,TRF_ALDF_MEPDG_LG13,0.002396
xgb,iri,design,TRF_ALDF_MEPDG_LG14,0.000749
xgb,iri,design,TRF_ALDF_MEPDG_LG15,0.000502
xgb,iri,design,TRF_ALDF_MEPDG_LG16,0.003333
xgb,iri,design,TRF_ALDF_MEPDG_LG17,0.000432
xgb,iri,design,TRF_ALDF_MEPDG_LG18,0.000322
xgb,iri,design,TRF_ALDF_MEPDG_LG19,0.000677
xgb,iri,design,TRF_ALDF_MEPDG_LG20,0.0
xgb,iri,design,TRF_ALDF_MEPDG_LG21,0.000304
xgb,iri,design,TRF_ALDF_MEPDG_LG22,0.000417
xgb,iri,design,TRF_ALDF_MEPDG_LG23,0.000594
xgb,iri,design,TRF_ALDF_MEPDG_LG24,0.0
xgb,iri,design,TRF_ALDF_MEPDG_LG25,0.000436
xgb,iri,design,TRF_ALDF_MEPDG_LG28,0.00098
xgb,iri,design,TRF_ALDF_MEPDG_LG29,0.000313
xgb,iri,design,TRF_ALDF_MEPDG_LG31,0.0
xgb,iri,design,TRF_ALDF_MEPDG_LG33,0.00176
xgb,iri,design,TRF_ALDF_MEPDG_LG36,0.0
xgb,iri,design,TRF_ALDF_MEPDG_LG37,0.001624
xgb,iri,design,TRF_ALDF_MEPDG_LG38,0.0
xgb,iri,design,TRF_ALDF_TOTAL,0.0
xgb,iri,design,TRF_APT_QUAD_AXLES,0.00148
xgb,iri,design,TRF_APT_SINGLE_AXLES,0.000219
xgb,iri,design,TRF_APT_TANDEM_AXLES,0.00345
xgb,iri,design,TRF_APT_TRIDEM_AXLES,0.001833
