,Arizona,Georgia,Ohio,Ontario
AC_AIR_VOIDS_AVG_WP,0.0020453446,0.0033108464,0.0016458164,0.007935282
AC_ASPHALT_CONTENT_MEAN,0.013708168,0.01868957,0.014600854,0.020764597
AC_BSG,0.017430501,0.015553502,0.011597199,0.008606406
AC_DESCRIPTION,0.003670001,0.0025612114,0.0013927621,0.0022604656
AC_ESTAR_LINK_GROUP,0.0004545125,0.00077136955,0.00023677506,0.00064880843
AC_IDT_POISSON_USED,0.005628286,0.010928824,0.0074734082,0.0035578369
AC_MATL_CODE,0.0022309816,0.0016310445,0.0007699493,0.0011037646
AC_NO_10_PASSING,0.007091617,0.0053346297,0.006252396,0.07412096
AC_NO_40_PASSING,0.000631894,0.00013646085,9.77485e-05,0.00025230317
AC_NO_80_PASSING,0.003022447,0.00077579723,0.0013443785,0.000949728
AC_ONE_HALF_PASSING,0.0023769012,0.0055725053,0.0020644153,0.005121505
AC_ONE_PASSING,0.0,0.0,0.0,0.0
AC_SUP_IDT_AVERAGE,0.0021771467,0.0026789191,0.0025982633,0.0015142425
AC_SUP_MAX_SPEC_GRAVITY,0.007709555,0.004209307,0.00036659825,0.004907826
AC_SUP_NO_200_PASSING,0.00085746776,0.00025592695,0.00181774,0.0006487081
AC_SUP_NO_4_PASSING,0.0010256199,0.0007266899,0.002682529,0.00484184
AC_SUP_REPR_THICKNESS,0.002584565,0.0033783803,0.01034775,0.014418529
AC_SUP_VOIDS_MINERAL_AGGR,0.0063233823,0.0032718596,0.004605035,0.005379839
AC_THERMAL_CONDUCTIVITY,0.0,0.0,0.0,0.0
AC_THREE_FOURTHS_PASSING,0.0005993191,0.0015887662,0.0016897968,0.0020650448
CLIM_CLOUD_COVER_AVG,0.0008412435,0.0019816374,0.0019169567,0.002032462
CLIM_ELEVATION,0.000667988,0.0005762484,0.00010077673,0.00038339477
CLIM_FREEZE_INDEX_FALL,0.0017354921,0.0016134568,0.0044772457,0.004585459
CLIM_FREEZE_THAW_FALL,0.00038029256,0.0002500304,0.0005281018,0.0005931338
CLIM_FREEZE_THAW_WINTER,0.0018357444,0.0026937497,0.0035116614,0.0023492193
CLIM_PRECIPITATION,0.0024695736,0.0021399392,0.0009221167,0.0011806126
CLIM_PRECIP_DAYS,0.0,0.0,0.0,0.0
CLIM_SHORTWAVE_SURFACE_AVG,0.004396888,0.00057745544,0.00045701995,0.002183372
CLIM_SHORTWAVE_SURFACE_AVG_SUMMER,0.004881505,0.0052871075,0.0018293746,0.0038570496
CLIM_STDDEV_HIGH_TEMP_7DAYS,0.0010975414,0.00021206269,0.000120493205,0.0017267948
CLIM_WIND_VELOCITY_AVG,0.0001932744,0.00042979376,0.00031119012,0.00019793893
CLIM_WIND_VELOCITY_AVG_FALL,0.00018616169,0.00043327178,0.0005930041,0.0005918698
CLIM_WIND_VELOCITY_AVG_SUMMER,0.0008169047,0.00044155217,0.0006276496,0.00034932568
CLIM_WIND_VELOCITY_AVG_WINTER,0.0001284191,0.0003143386,0.00018467114,8.640623e-05
COMP_AGE_CLIMATE,0.018784206,0.019280408,0.04390897,0.025681151
COMP_MAT_FREEZE_SUSC,0.0049113785,0.0026015656,0.0025130336,0.004944915
COMP_STRUCT_ADEQUACY,0.012345488,0.0030850102,0.00087811507,0.022757042
COMP_WET_FREEZE,0.00060744473,0.00057482213,0.0012758698,0.001348349
FEAT_AGE_YEARS,0.02769747,0.02812009,0.069673255,0.026898507
L05B_DESCRIPTION,0.023623643,0.027386151,0.018261615,0.039427273
L05B_INV_LAYER_NO,0.003182698,0.003045989,0.0005455528,0.0012534087
L05B_MATL_CODE,0.026338303,0.019078253,0.013100162,0.027762093
L05B_REPR_THICKNESS,0.050525352,0.05553667,0.02394705,0.02416609
LAYER_COUNT_AC,0.045971185,0.04255685,0.018415043,0.047184773
LAYER_COUNT_TOTAL,0.012666562,0.00893111,0.0056262524,0.0073672417
LAYER_COUNT_UNBOUND,0.0037097193,0.003277943,0.0041786996,0.003554904
LAYER_SURFACE_MATL_CODE,0.020696543,0.0087647345,0.008135079,0.007259557
LAYER_THICKNESS_AC_MM,0.016535431,0.014396461,0.014896759,0.0187357
LAYER_THICKNESS_TOTAL_MM,0.0014707324,0.0016216957,4.102945e-05,0.0016296753
LAYER_THICKNESS_UB_MM,0.010782811,0.0058982065,0.007191461,0.008976234
SHRP_CLASS_SITE,0.0,0.0,0.0,0.0
SHRP_DATA_AVAILABILITY,0.0,0.0,0.0,0.0
SHRP_FUNC_CLASS,0.0,0.0,0.0,0.0
SHRP_ID3,0.005758055,0.0014462385,0.00096117397,0.0010698824
SHRP_ID6,0.00038122034,0.00034032555,0.0006817813,0.00019012854
SHRP_LANES_LTPP_DIR,0.00060485525,0.0010322663,6.410414e-05,0.00011149952
SHRP_LTPP_DIR,0.0002932825,0.00033979738,0.00030721579,0.0003358553
TRF_AADTT_VEH_CLASS_10_TREND,0.0042073564,0.004284697,0.0020993932,0.00094154145
TRF_AADTT_VEH_CLASS_11_TREND,0.0046372754,0.005820943,0.0022174981,0.00485643
TRF_AADTT_VEH_CLASS_13_TREND,0.007898497,0.0046663573,0.0066070626,0.015203546
TRF_AADTT_VEH_CLASS_4_TREND,0.0256225,0.019109115,0.015807638,0.019210394
TRF_AADTT_VEH_CLASS_5_TREND,0.006584439,0.0029909867,0.004176306,0.0070900214
TRF_AADTT_VEH_CLASS_6_TREND,0.0060678176,0.008194037,0.0016765106,0.012817449
TRF_AADTT_VEH_CLASS_7_TREND,0.0033046831,0.007003463,0.012425115,0.0013162108
TRF_AADTT_VEH_CLASS_8_TREND,0.013405618,0.010396148,0.011637465,0.008055792
TRF_AADTT_VEH_CLASS_9_TREND,0.011429498,0.017910438,0.0012015222,0.002233804
TRF_ALDF_MEPDG_LG01,8.3125655e-05,6.077004e-05,0.00034653227,2.5289224e-05
TRF_ALDF_MEPDG_LG02,0.00045842858,0.00025976612,0.00026759593,0.00025976615
TRF_ALDF_MEPDG_LG03,0.00053946045,0.00039643893,0.0008851315,0.00091880304
TRF_ALDF_MEPDG_LG04,0.0021738128,0.0008173995,0.0007854547,0.002185259
TRF_ALDF_MEPDG_LG05,0.00083727296,0.0017707808,0.000920538,0.000748993
TRF_ALDF_MEPDG_LG06,0.00033731863,0.00058911403,0.00025132755,0.0011718454
TRF_ALDF_MEPDG_LG07,0.0011996899,0.0006262926,0.0014990694,0.0011869265
TRF_ALDF_MEPDG_LG08,0.0025370403,0.0016394799,0.0006575568,0.0005770297
TRF_ALDF_MEPDG_LG09,0.0008944001,0.00070450833,0.0006538667,0.0005152591
TRF_ALDF_MEPDG_LG10,0.00020694423,0.00036826293,0.00031009337,0.00043875625
TRF_ALDF_MEPDG_LG11,0.00013508477,0.0001090574,6.868992e-05,0.00010905739
TRF_ALDF_MEPDG_LG13,0.0021923627,0.0031116633,0.0013673137,0.0033253636
TRF_ALDF_MEPDG_LG14,0.0013378687,0.00080108107,0.0001060432,0.00014191889
TRF_ALDF_MEPDG_LG15,0.0006622884,0.00025655024,0.00040001923,0.0004519833
TRF_ALDF_MEPDG_LG16,0.004882657,0.004337705,0.001431067,0.0013231084
TRF_ALDF_MEPDG_LG17,0.00083112466,0.0001923363,0.00010449716,0.00011327512
TRF_ALDF_MEPDG_LG18,0.0001715061,0.00034907783,0.0005420598,0.00039147152
TRF_ALDF_MEPDG_LG19,0.00029842477,0.00028601498,0.00019883213,0.0022173044
TRF_ALDF_MEPDG_LG20,0.0,0.0,0.0,0.0
TRF_ALDF_MEPDG_LG21,0.0005445183,0.00012563838,8.726408e-05,0.00015366808
TRF_ALDF_MEPDG_LG22,0.000120803765,0.000691454,0.00025799303,0.0009852006
